COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
Auntie Irene's Ice Cream Shpp,Des Moines,47.400314,-122.32409,Limited-Service Restaurants
Baja Fresh Mexican Grill,Kent,47.440697,-122.222787,Limited-Service Restaurants
Baja Fresh Mexican Grill,Vancouver,45.61594,-122.507489,Limited-Service Restaurants
Baja Fresh Mexican Grill,Vancouver,45.678894,-122.661499,Limited-Service Restaurants
Bake Van Goes Take,Port Angeles,48.119778,-123.457892,Full-Service Restaurants
Baker's Corner Store,Longview,46.171121,-123.016187,Limited-Service Restaurants
Bambinos,Seattle,47.617886,-122.347583,Full-Service Restaurants
Bavarian Meat Delicatessen,Seattle,47.610063,-122.34278,Limited-Service Restaurants
Beard Papa's,Seattle,47.59738,-122.327634,Limited-Service Restaurants
Beba's Deli,Seattle,47.598436,-122.334356,Limited-Service Restaurants
Beba's Delicatessen,Seattle,47.613987,-122.341713,Limited-Service Restaurants
Bebas & Amigos,Seattle,47.6048,-122.330111,Limited-Service Restaurants
Bella Luna Pizza & Pasta,Burien,47.465914,-122.338217,Full-Service Restaurants
Belltown Pizza,Seattle,47.614523,-122.348208,Full-Service Restaurants
Benson Curry Pizza,Kent,47.390165,-122.202302,Full-Service Restaurants
Bertoglio's Pizza,Eatonville,46.864887,-122.25692,Full-Service Restaurants
Big Town Hero,Kalama,46.006087,-122.835982,Limited-Service Restaurants
Birch Bay Pizza,Blaine,48.936841,-122.747298,Full-Service Restaurants
Bite Sandwich Co,Burien,47.466611,-122.336772,Limited-Service Restaurants
Blake's Pizzeria & Ice Cream,Carnation,47.65881,-121.921987,Full-Service Restaurants
Blaze Pizza,Spokane,47.665937,-117.411123,Full-Service Restaurants
Blimpie Subs & Salads,East Wenatchee,47.406308,-120.281091,Limited-Service Restaurants
Blimpie Subs & Salads,Everett,47.878573,-122.180512,Limited-Service Restaurants
Blimpie Subs & Salads,Sequim,48.079956,-123.172449,Limited-Service Restaurants
Blind Onion Pizza & Pub,Vancouver,45.628754,-122.640294,Full-Service Restaurants
Boss's Pizza Stop & Shop,Vancouver,45.65747,-122.557495,Full-Service Restaurants
Boston's Restaurant-Sports Bar,Bellingham,48.783784,-122.490336,Full-Service Restaurants
Boston's Restaurant-Sports Bar,Marysville,48.150213,-122.189909,Full-Service Restaurants
Boston's Restaurant-Sports Bar,Mill Creek,47.859039,-122.220307,Full-Service Restaurants
Boston's Restaurant-Sports Bar,Spokane Valley,47.67563,-117.21285,Full-Service Restaurants
