start,end,outlet info
2011-04-19T18:39:24,2011-04-19T19:27:27,"Pandas(_0='West Edge Market', CITY='Seattle', LATITUDE=47.6066, LONGITUDE=-122.338831, _4='Limited-Service Restaurants')"
2011-04-27T01:55:40,2011-04-27T02:38:04,"Pandas(_0='North City Wine Bar & Bistro', CITY='Shoreline', LATITUDE=47.757723, LONGITUDE=-122.313171, _4='Full-Service Restaurants')"
2011-04-27T20:46:29,2011-04-27T21:50:49,"Pandas(_0=""King's Teriyaki"", CITY='Woodinville', LATITUDE=47.753784, LONGITUDE=-122.160695, _4='Full-Service Restaurants')"
2011-07-05T02:23:32,2011-07-05T04:38:09,"Pandas(_0='North City Wine Bar & Bistro', CITY='Shoreline', LATITUDE=47.757723, LONGITUDE=-122.313171, _4='Full-Service Restaurants')"
2011-07-29T23:21:55,2011-07-29T23:41:05,"Pandas(_0=""Applebee's"", CITY='Lynnwood', LATITUDE=47.820591, LONGITUDE=-122.296373, _4='Full-Service Restaurants')"
2011-08-11T18:13:45,2011-08-11T19:05:32,"Pandas(_0='Taco Del Mar', CITY='Ritzville', LATITUDE=47.117448, LONGITUDE=-118.36751, _4='Limited-Service Restaurants')"
2011-09-13T18:01:58,2011-09-13T18:17:10,"Pandas(_0='Garden Cafe', CITY='Woodinville', LATITUDE=47.75343, LONGITUDE=-122.157025, _4='Full-Service Restaurants')"
2011-09-28T19:30:18,2011-09-28T20:07:50,"Pandas(_0='Qdoba Mexican Eats', CITY='Mill Creek', LATITUDE=47.849819, LONGITUDE=-122.219328, _4='Limited-Service Restaurants')"
2011-10-11T02:14:40,2011-10-11T02:55:30,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Woodinville', LATITUDE=47.75772, LONGITUDE=-122.15561, _4='Full-Service Restaurants')"
2011-10-14T18:06:45,2011-10-14T18:42:46,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-10-17T20:34:37,2011-10-17T22:29:27,"Pandas(_0='Red Lobster', CITY='Lynnwood', LATITUDE=47.821467, LONGITUDE=-122.291018, _4='Full-Service Restaurants')"
2011-10-18T00:08:20,2011-10-18T00:52:25,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-10-23T19:07:41,2011-10-23T19:44:04,"Pandas(_0=""Romio's Pizza & Pasta"", CITY='Kirkland', LATITUDE=47.71164, LONGITUDE=-122.18815, _4='Full-Service Restaurants')"
2011-10-25T17:59:38,2011-10-25T18:28:30,"Pandas(_0=""Romio's Pizza & Pasta"", CITY='Kirkland', LATITUDE=47.71164, LONGITUDE=-122.18815, _4='Full-Service Restaurants')"
2011-11-02T21:40:51,2011-11-02T22:04:57,"Pandas(_0='Jubilee Reach Thrift Store', CITY='Bellevue', LATITUDE=47.630695, LONGITUDE=-122.144156, _4='Full-Service Restaurants')"
2011-11-03T18:08:56,2011-11-03T18:25:41,"Pandas(_0='Family Pancake House', CITY='Redmond', LATITUDE=47.668481, LONGITUDE=-122.104427, _4='Full-Service Restaurants')"
2011-11-05T20:15:42,2011-11-05T20:39:07,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-11-07T18:21:22,2011-11-07T18:46:12,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-11-10T18:19:30,2011-11-10T20:02:03,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Woodinville', LATITUDE=47.75502, LONGITUDE=-122.150545, _4='Limited-Service Restaurants')"
2011-11-15T03:27:58,2011-11-15T03:45:16,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-11-15T17:04:01,2011-11-15T17:24:19,"Pandas(_0=""Romio's Pizza & Pasta"", CITY='Kirkland', LATITUDE=47.71164, LONGITUDE=-122.18815, _4='Full-Service Restaurants')"
2011-11-15T18:43:05,2011-11-15T18:58:14,"Pandas(_0='Village Square Cafe', CITY='Redmond', LATITUDE=47.678543, LONGITUDE=-122.124759, _4='Full-Service Restaurants')"
2011-11-30T19:07:12,2011-11-30T19:25:28,"Pandas(_0='Turners', CITY='Everett', LATITUDE=47.978912, LONGITUDE=-122.200738, _4='Full-Service Restaurants')"
2011-12-11T22:34:32,2011-12-11T22:56:56,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-12-17T17:48:35,2011-12-17T18:22:25,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-12-22T22:49:34,2011-12-22T23:18:58,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-12-26T19:38:23,2011-12-26T19:59:44,"Pandas(_0='QFC', CITY='Mercer Island', LATITUDE=47.584959, LONGITUDE=-122.232886, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-01-08T17:48:29,2012-01-08T18:35:33,"Pandas(_0='Bthree WA Burgers & Breakfast', CITY='Lynnwood', LATITUDE=47.8212, LONGITUDE=-122.28811, _4='Full-Service Restaurants')"
2012-01-08T19:44:48,2012-01-08T20:06:16,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-01-17T19:01:30,2012-01-17T19:39:41,"Pandas(_0='Pho Vina', CITY='Woodinville', LATITUDE=47.753853, LONGITUDE=-122.152807, _4='Full-Service Restaurants')"
2012-01-26T03:39:42,2012-01-26T04:09:11,"Pandas(_0='Haggen Food & Pharmacy', CITY='Woodinville', LATITUDE=47.755668, LONGITUDE=-122.156759, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-02-01T22:23:16,2012-02-02T00:01:40,"Pandas(_0='Big Fish Grill-Woodinville', CITY='Woodinville', LATITUDE=47.754802, LONGITUDE=-122.156336, _4='Full-Service Restaurants')"
