start,end,outlet info
2017-01-11T01:33:28,2017-01-11T02:18:25,"Pandas(_0=""Shari's Restaurant"", CITY='Olympia', LATITUDE=47.048093, LONGITUDE=-122.823765, _4='Full-Service Restaurants')"
2017-01-14T19:48:47,2017-01-14T20:24:16,"Pandas(_0='Round Table Pizza', CITY='Burien', LATITUDE=47.461939, LONGITUDE=-122.332523, _4='Full-Service Restaurants')"
2017-03-06T16:23:06,2017-03-06T17:10:22,"Pandas(_0='Daily Grill', CITY='Seattle', LATITUDE=47.61134, LONGITUDE=-122.333904, _4='Full-Service Restaurants')"
2017-05-06T17:37:35,2017-05-06T17:57:42,"Pandas(_0='Alaskan Sourdough Bakery', CITY='Seattle', LATITUDE=47.606059, LONGITUDE=-122.341018, _4='Full-Service Restaurants')"
2017-05-08T01:26:14,2017-05-08T03:02:48,"Pandas(_0=""Anthony's Homeport Des Moines"", CITY='Des Moines', LATITUDE=47.39732, LONGITUDE=-122.328383, _4='Full-Service Restaurants')"
2017-05-08T18:38:07,2017-05-08T19:22:38,"Pandas(_0='Quiznos', CITY='Burien', LATITUDE=47.46281, LONGITUDE=-122.333993, _4='Limited-Service Restaurants')"
2017-06-09T18:48:35,2017-06-09T19:55:14,"Pandas(_0='Seatown Seabar & Rotisserie', CITY='Seattle', LATITUDE=47.610622, LONGITUDE=-122.343831, _4='Full-Service Restaurants')"
2017-06-10T17:53:56,2017-06-10T18:36:23,"Pandas(_0=""Ivar's Salmon House"", CITY='Seattle', LATITUDE=47.653614, LONGITUDE=-122.324059, _4='Full-Service Restaurants')"
2017-07-07T17:20:50,2017-07-07T18:13:07,"Pandas(_0='Quiznos', CITY='Burien', LATITUDE=47.46281, LONGITUDE=-122.333993, _4='Limited-Service Restaurants')"
2017-10-28T01:04:50,2017-10-28T02:41:04,"Pandas(_0='Bell Thai', CITY='Seattle', LATITUDE=47.614982, LONGITUDE=-122.343399, _4='Full-Service Restaurants')"
2017-10-28T17:51:07,2017-10-28T18:28:39,"Pandas(_0='Smarty Pants Garage', CITY='Burien', LATITUDE=47.466843, LONGITUDE=-122.342979, _4='Full-Service Restaurants')"
2017-12-09T20:48:48,2017-12-09T21:24:43,"Pandas(_0='On Rice Thai Cuisine', CITY='Bellingham', LATITUDE=48.719892, LONGITUDE=-122.501423, _4='Full-Service Restaurants')"
2017-12-13T18:17:47,2017-12-13T18:52:48,"Pandas(_0='Great India Cuisine', CITY='Olympia', LATITUDE=47.045106, LONGITUDE=-122.902558, _4='Full-Service Restaurants')"
2018-04-01T02:53:39,2018-04-01T03:22:55,"Pandas(_0='Atmosphere Cafe', CITY='Burien', LATITUDE=47.462647, LONGITUDE=-122.334295, _4='Full-Service Restaurants')"
