start,end,outlet info
2013-04-14T19:40:19,2013-04-14T20:46:42,"Pandas(_0=""Phaikun's Thai Cuisine"", CITY='Pullman', LATITUDE=46.7215, LONGITUDE=-117.1843, _4='Full-Service Restaurants')"
2015-08-12T02:26:45,2015-08-12T03:23:22,"Pandas(_0='Casadores Mexican Restaurant', CITY='Centralia', LATITUDE=46.718563, LONGITUDE=-122.953729, _4='Full-Service Restaurants')"
2015-10-14T02:15:53,2015-10-14T03:52:02,"Pandas(_0='Regatta Bar & Grille', CITY='Seattle', LATITUDE=47.608092, LONGITUDE=-122.332117, _4='Full-Service Restaurants')"
2015-10-14T20:47:03,2015-10-14T21:38:03,"Pandas(_0='Thai Thani Kitchen', CITY='Seattle', LATITUDE=47.619952, LONGITUDE=-122.336241, _4='Full-Service Restaurants')"
