start,end,outlet info
2016-07-29T19:32:47,2016-07-29T20:51:18,"Pandas(_0='Sky Ribbon Cafe', CITY='Spokane', LATITUDE=47.660174, LONGITUDE=-117.423124, _4='Full-Service Restaurants')"
2016-07-29T20:55:21,2016-07-29T21:10:22,"Pandas(_0='O Dohertys Irish Grille', CITY='Spokane', LATITUDE=47.660141, LONGITUDE=-117.421272, _4='Full-Service Restaurants')"
2016-07-29T21:28:10,2016-07-29T22:26:18,"Pandas(_0=""P F Chang's China Bistro"", CITY='Spokane', LATITUDE=47.65881, LONGITUDE=-117.423756, _4='Full-Service Restaurants')"
2016-08-01T22:17:27,2016-08-01T23:15:06,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Spokane', LATITUDE=47.658825, LONGITUDE=-117.423306, _4='Full-Service Restaurants')"
2016-08-07T09:23:53,2016-08-07T10:59:26,"Pandas(_0='Safeway', CITY='Cheney', LATITUDE=47.505723, LONGITUDE=-117.5664, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2016-08-20T00:48:00,2016-08-20T01:22:09,"Pandas(_0=""Taco John's"", CITY='Spokane', LATITUDE=47.70041, LONGITUDE=-117.394669, _4='Limited-Service Restaurants')"
2016-09-13T06:42:10,2016-09-13T07:10:11,"Pandas(_0=""Denny's"", CITY='Spokane', LATITUDE=47.620638, LONGITUDE=-117.505778, _4='Full-Service Restaurants')"
2016-11-07T18:35:37,2016-11-07T19:32:35,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Spokane', LATITUDE=47.658825, LONGITUDE=-117.423306, _4='Full-Service Restaurants')"
2016-11-23T16:03:48,2016-11-23T16:33:11,"Pandas(_0='SUBWAY', CITY='Cheney', LATITUDE=47.50652, LONGITUDE=-117.5671, _4='Limited-Service Restaurants')"
2016-11-27T11:39:12,2016-11-27T12:23:12,"Pandas(_0='SUBWAY', CITY='Cheney', LATITUDE=47.50652, LONGITUDE=-117.5671, _4='Limited-Service Restaurants')"
2016-12-01T07:12:43,2016-12-01T09:11:45,"Pandas(_0='SUBWAY', CITY='Cheney', LATITUDE=47.50652, LONGITUDE=-117.5671, _4='Limited-Service Restaurants')"
