start,end,outlet info
2020-10-16T19:49:53,2020-10-16T20:57:31,"Pandas(_0='Palomino-Bellevue', CITY='Bellevue', LATITUDE=47.615841, LONGITUDE=-122.20156, _4='Full-Service Restaurants')"
2020-10-23T18:22:28,2020-10-23T18:46:15,"Pandas(_0='Costco Wholesale', CITY='Federal Way', LATITUDE=47.287035, LONGITUDE=-122.310169, _4='Warehouse Clubs & Supercenters')"
2020-11-04T00:02:46,2020-11-04T00:55:21,"Pandas(_0=""Mc Donald's"", CITY='Milton', LATITUDE=47.252, LONGITUDE=-122.294574, _4='Limited-Service Restaurants')"
2024-04-05T20:39:27,2024-04-05T22:01:24,"Pandas(_0='Cafe Rio Mexican Grill', CITY='Federal Way', LATITUDE=47.315255, LONGITUDE=-122.311708, _4='Full-Service Restaurants')"
2024-04-06T21:59:59,2024-04-06T22:18:17,"Pandas(_0=""Mc Donald's"", CITY='Tacoma', LATITUDE=47.157112, LONGITUDE=-122.40111, _4='Limited-Service Restaurants')"
