start,end,outlet info
2015-08-04T21:23:23,2015-08-04T21:49:21,"Pandas(_0='High Nooner', CITY='Spokane Valley', LATITUDE=47.662265, LONGITUDE=-117.240471, _4='Full-Service Restaurants')"
2012-06-13T22:54:10,2012-06-13T23:42:48,"Pandas(_0=""Denny's"", CITY='Spokane Valley', LATITUDE=47.675201, LONGITUDE=-117.281745, _4='Full-Service Restaurants')"
2012-06-28T19:27:34,2012-06-28T20:01:49,"Pandas(_0=""Denny's"", CITY='Spokane Valley', LATITUDE=47.657459, LONGITUDE=-117.23937, _4='Full-Service Restaurants')"
2012-08-23T03:32:51,2012-08-23T05:06:44,"Pandas(_0='Panda Express', CITY='Spokane', LATITUDE=47.659518, LONGITUDE=-117.423503, _4='Limited-Service Restaurants')"
2012-09-30T23:28:02,2012-09-30T23:55:39,"Pandas(_0='Taco Time', CITY='Spokane Valley', LATITUDE=47.656767, LONGITUDE=-117.238147, _4='Limited-Service Restaurants')"
2012-10-03T07:54:58,2012-10-03T09:27:13,"Pandas(_0='Globe', CITY='Spokane', LATITUDE=47.65916, LONGITUDE=-117.411042, _4='Full-Service Restaurants')"
2012-10-12T22:41:33,2012-10-12T22:59:01,"Pandas(_0='High Nooner', CITY='Spokane Valley', LATITUDE=47.662265, LONGITUDE=-117.240471, _4='Full-Service Restaurants')"
2012-10-14T01:57:46,2012-10-14T03:55:56,"Pandas(_0='Azteca Mexican Restaurants', CITY='Spokane', LATITUDE=47.660107, LONGITUDE=-117.414944, _4='Full-Service Restaurants')"
2012-10-30T00:49:06,2012-10-30T01:08:42,"Pandas(_0='Qdoba Mexican Eats', CITY='Spokane Valley', LATITUDE=47.671261, LONGITUDE=-117.240526, _4='Limited-Service Restaurants')"
2012-10-31T21:17:44,2012-10-31T21:37:40,"Pandas(_0='IHOP Restaurant', CITY='Spokane Valley', LATITUDE=47.675787, LONGITUDE=-117.21036, _4='Full-Service Restaurants')"
2012-12-24T04:09:45,2012-12-24T05:23:54,"Pandas(_0='Iron Horse Restaurant', CITY='Spokane Valley', LATITUDE=47.657699, LONGITUDE=-117.255399, _4='Full-Service Restaurants')"
2013-02-01T01:17:03,2013-02-01T01:59:01,"Pandas(_0='Burger King', CITY='Spokane Valley', LATITUDE=47.666353, LONGITUDE=-117.191765, _4='Limited-Service Restaurants')"
2013-02-12T22:07:25,2013-02-12T22:27:32,"Pandas(_0='Hong Kong Buffet', CITY='Spokane Valley', LATITUDE=47.6738, LONGITUDE=-117.208741, _4='Limited-Service Restaurants')"
2013-03-22T03:35:30,2013-03-22T04:24:06,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Spokane Valley', LATITUDE=47.674214, LONGITUDE=-117.203554, _4='Full-Service Restaurants')"
2013-04-11T03:37:20,2013-04-11T04:15:05,"Pandas(_0='El Albanil', CITY='Bellingham', LATITUDE=48.733864, LONGITUDE=-122.468925, _4='Full-Service Restaurants')"
2013-04-23T20:21:51,2013-04-23T21:22:58,"Pandas(_0=""Mamma Mia's Ristorante-Pzzr"", CITY='Spokane', LATITUDE=47.71539, LONGITUDE=-117.418932, _4='Full-Service Restaurants')"
2013-05-01T18:53:12,2013-05-01T19:09:01,"Pandas(_0='Jack In The Box', CITY='Spokane Valley', LATITUDE=47.670996, LONGITUDE=-117.240121, _4='Limited-Service Restaurants')"
2013-05-05T03:54:45,2013-05-05T04:32:41,"Pandas(_0='Azteca Mexican Restaurants', CITY='Spokane', LATITUDE=47.660107, LONGITUDE=-117.414944, _4='Full-Service Restaurants')"
2013-05-05T04:36:20,2013-05-05T05:20:14,"Pandas(_0='Fast Eddies Bar & Grill', CITY='Spokane', LATITUDE=47.66014, LONGITUDE=-117.411472, _4='Full-Service Restaurants')"
2013-05-08T23:29:58,2013-05-08T23:47:32,"Pandas(_0=""Ron's Drive In"", CITY='Spokane Valley', LATITUDE=47.656449, LONGITUDE=-117.237071, _4='Full-Service Restaurants')"
2013-05-15T18:58:46,2013-05-15T19:23:26,"Pandas(_0=""Caruso's Sandwiches"", CITY='Spokane Valley', LATITUDE=47.678382, LONGITUDE=-117.282285, _4='Full-Service Restaurants')"
2013-05-29T18:49:55,2013-05-29T19:13:14,"Pandas(_0='High Nooner', CITY='Spokane Valley', LATITUDE=47.662265, LONGITUDE=-117.240471, _4='Full-Service Restaurants')"
2013-07-03T16:46:11,2013-07-03T17:01:58,"Pandas(_0='Rosauers Supermarkets', CITY='Spokane Valley', LATITUDE=47.656012, LONGITUDE=-117.262396, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2013-07-10T23:54:42,2013-07-11T01:04:42,"Pandas(_0='SUSHI.COM', CITY='Spokane', LATITUDE=47.659302, LONGITUDE=-117.419341, _4='Full-Service Restaurants')"
2013-07-14T00:45:49,2013-07-14T02:18:18,"Pandas(_0='Shogun Hibachi Steak Sushi', CITY='Spokane', LATITUDE=47.653868, LONGITUDE=-117.39802, _4='Full-Service Restaurants')"
2013-08-04T23:51:29,2013-08-05T00:07:36,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-08-11T02:16:58,2013-08-11T02:39:16,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-08-14T21:15:35,2013-08-14T21:42:55,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-08-29T20:56:58,2013-08-29T21:45:29,"Pandas(_0='3 Sisters Restaurant', CITY='Spokane Valley', LATITUDE=47.657469, LONGITUDE=-117.262528, _4='Full-Service Restaurants')"
2013-09-03T22:10:27,2013-09-03T22:58:41,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-09-06T04:02:22,2013-09-06T04:18:37,"Pandas(_0='Rosauers Supermarkets', CITY='Spokane Valley', LATITUDE=47.656012, LONGITUDE=-117.262396, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2013-09-16T23:24:06,2013-09-16T23:45:44,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-09-20T20:56:42,2013-09-20T21:19:39,"Pandas(_0='Thrifty Scotsman Drive Inn', CITY='Spokane Valley', LATITUDE=47.656771, LONGITUDE=-117.242659, _4='Full-Service Restaurants')"
2013-09-22T05:57:45,2013-09-22T06:58:55,"Pandas(_0=""Denny's"", CITY='Spokane Valley', LATITUDE=47.657459, LONGITUDE=-117.23937, _4='Full-Service Restaurants')"
2013-10-16T02:45:21,2013-10-16T03:07:36,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2013-10-18T03:34:29,2013-10-18T03:56:39,"Pandas(_0=""Carl's Jr"", CITY='Spokane Valley', LATITUDE=47.656795, LONGITUDE=-117.217201, _4='Limited-Service Restaurants')"
