start,end,outlet info
2016-07-13T16:11:16,2016-07-13T16:43:21,"Pandas(_0=""Domino's"", CITY='Spokane', LATITUDE=47.700248, LONGITUDE=-117.378591, _4='Limited-Service Restaurants')"
2016-07-13T17:52:36,2016-07-13T18:12:05,"Pandas(_0=""Domino's"", CITY='Spokane', LATITUDE=47.700248, LONGITUDE=-117.378591, _4='Limited-Service Restaurants')"
2016-07-18T14:10:04,2016-07-18T15:16:07,"Pandas(_0=""Domino's"", CITY='Spokane', LATITUDE=47.700248, LONGITUDE=-117.378591, _4='Limited-Service Restaurants')"
2016-08-06T21:05:19,2016-08-06T21:48:28,"Pandas(_0=""Milford's Fish House"", CITY='Spokane', LATITUDE=47.66422, LONGITUDE=-117.42684, _4='Full-Service Restaurants')"
2016-08-31T17:42:12,2016-08-31T18:33:27,"Pandas(_0='Burger King', CITY='Spokane', LATITUDE=47.742173, LONGITUDE=-117.408672, _4='Limited-Service Restaurants')"
2016-12-11T14:24:03,2016-12-11T15:37:04,"Pandas(_0='Bangkok Thai Restaurant', CITY='Spokane', LATITUDE=47.661962, LONGITUDE=-117.395185, _4='Full-Service Restaurants')"
2017-05-04T00:11:03,2017-05-04T01:57:55,"Pandas(_0='Target', CITY='Seattle', LATITUDE=47.608488, LONGITUDE=-122.338255, _4='Department Stores')"
2017-07-10T01:32:07,2017-07-10T02:23:12,"Pandas(_0='Twigs Bistro & Martini Bar', CITY='Spokane Valley', LATITUDE=47.67558, LONGITUDE=-117.20581, _4='Full-Service Restaurants')"
2017-07-17T01:01:15,2017-07-17T01:34:44,"Pandas(_0='Safeway', CITY='Spokane', LATITUDE=47.694097, LONGITUDE=-117.367009, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2017-07-17T17:09:36,2017-07-17T19:27:12,"Pandas(_0='Bangkok Thai Restaurant', CITY='Spokane', LATITUDE=47.661962, LONGITUDE=-117.395185, _4='Full-Service Restaurants')"
2017-07-28T02:45:54,2017-07-28T03:46:50,"Pandas(_0='Mackenzie River Pizza Co', CITY='Spokane', LATITUDE=47.740845, LONGITUDE=-117.395938, _4='Full-Service Restaurants')"
2017-08-01T01:44:59,2017-08-01T02:34:25,"Pandas(_0='Tomato Street-Spokane', CITY='Spokane', LATITUDE=47.71448, LONGITUDE=-117.41083, _4='Full-Service Restaurants')"
2017-08-04T20:14:07,2017-08-04T21:01:49,"Pandas(_0=""Applebee's"", CITY='Spokane', LATITUDE=47.747018, LONGITUDE=-117.403427, _4='Full-Service Restaurants')"
2017-08-10T23:35:51,2017-08-10T23:59:22,"Pandas(_0='Safeway', CITY='Spokane', LATITUDE=47.694097, LONGITUDE=-117.367009, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2017-08-16T02:18:55,2017-08-16T03:07:39,"Pandas(_0=""Scotty's Doghouse"", CITY='Spokane', LATITUDE=47.66958, LONGITUDE=-117.396664, _4='Full-Service Restaurants')"
2017-08-27T01:39:19,2017-08-27T02:15:09,"Pandas(_0=""Boston's Restaurant-Sports Bar"", CITY='Spokane Valley', LATITUDE=47.67563, LONGITUDE=-117.21285, _4='Full-Service Restaurants')"
2017-08-30T02:07:08,2017-08-30T02:25:58,"Pandas(_0=""Caruso's Sandwiches"", CITY='Spokane Valley', LATITUDE=47.678382, LONGITUDE=-117.282285, _4='Full-Service Restaurants')"
2017-09-07T01:10:37,2017-09-07T02:22:23,"Pandas(_0='Hugos On The Hill', CITY='Spokane', LATITUDE=47.629538, LONGITUDE=-117.366411, _4='Full-Service Restaurants')"
2017-09-20T16:16:35,2017-09-20T17:32:16,"Pandas(_0='Meridian Valley Country Club', CITY='Kent', LATITUDE=47.378494, LONGITUDE=-122.158506, _4='Full-Service Restaurants')"
2017-10-06T23:08:02,2017-10-06T23:28:58,"Pandas(_0='Bangkok Thai Restaurant', CITY='Spokane', LATITUDE=47.661962, LONGITUDE=-117.395185, _4='Full-Service Restaurants')"
2017-10-20T02:00:40,2017-10-20T02:50:35,"Pandas(_0='Tomato Street-Spokane', CITY='Spokane', LATITUDE=47.71448, LONGITUDE=-117.41083, _4='Full-Service Restaurants')"
2017-11-01T19:12:08,2017-11-01T19:51:10,"Pandas(_0='Onion Bar & Grill-North', CITY='Spokane', LATITUDE=47.726709, LONGITUDE=-117.410695, _4='Full-Service Restaurants')"
2017-11-02T15:35:22,2017-11-02T15:50:56,"Pandas(_0='Grocery Outlet', CITY='Spokane', LATITUDE=47.728789, LONGITUDE=-117.408715, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
