start,end,outlet info
2010-07-10T02:14:33,2010-07-10T03:02:48,"Pandas(_0='Two Seven Public House', CITY='Spokane', LATITUDE=47.629781, LONGITUDE=-117.370292, _4='Full-Service Restaurants')"
2010-07-18T21:36:46,2010-07-18T22:28:58,"Pandas(_0=""Caruso's Sandwiches"", CITY='Spokane Valley', LATITUDE=47.678382, LONGITUDE=-117.282285, _4='Full-Service Restaurants')"
2010-07-28T23:30:05,2010-07-28T23:57:17,"Pandas(_0='Rosauers Supermarkets', CITY='Spokane', LATITUDE=47.627803, LONGITUDE=-117.373034, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2010-07-31T21:21:37,2010-07-31T21:52:32,"Pandas(_0=""Mc Donald's"", CITY='Spokane Valley', LATITUDE=47.664944, LONGITUDE=-117.19748, _4='Limited-Service Restaurants')"
2010-08-01T21:39:12,2010-08-01T22:11:19,"Pandas(_0='Pita Pit', CITY='Spokane Valley', LATITUDE=47.673543, LONGITUDE=-117.206442, _4='Limited-Service Restaurants')"
2010-08-17T00:54:20,2010-08-17T01:14:31,"Pandas(_0='Fred Meyer', CITY='Spokane Valley', LATITUDE=47.658828, LONGITUDE=-117.193806, _4='Department Stores')"
2010-08-29T20:51:03,2010-08-29T21:37:14,"Pandas(_0=""Jimmy John's"", CITY='Spokane', LATITUDE=47.628248, LONGITUDE=-117.367843, _4='Limited-Service Restaurants')"
2010-12-21T00:28:27,2010-12-21T01:12:30,"Pandas(_0='Studio K Bar On Regal', CITY='Spokane', LATITUDE=47.612, LONGITUDE=-117.368235, _4='Full-Service Restaurants')"
2010-12-21T18:50:10,2010-12-21T19:47:40,"Pandas(_0=""Applebee's"", CITY='Spokane', LATITUDE=47.628449, LONGITUDE=-117.379838, _4='Full-Service Restaurants')"
2010-12-31T19:54:13,2010-12-31T20:16:59,"Pandas(_0='Safeway', CITY='Spokane', LATITUDE=47.699144, LONGITUDE=-117.448213, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2011-01-12T20:39:57,2011-01-12T22:05:20,"Pandas(_0='Relish Burger Bistro', CITY='Seattle', LATITUDE=47.613791, LONGITUDE=-122.338291, _4='Full-Service Restaurants')"
2011-01-13T14:29:35,2011-01-13T14:54:45,"Pandas(_0='Relish Burger Bistro', CITY='Seattle', LATITUDE=47.613791, LONGITUDE=-122.338291, _4='Full-Service Restaurants')"
2011-01-13T15:02:47,2011-01-13T15:53:37,"Pandas(_0='Relish Burger Bistro', CITY='Seattle', LATITUDE=47.613791, LONGITUDE=-122.338291, _4='Full-Service Restaurants')"
