start,end,outlet info
2018-11-27T01:57:19,2018-11-27T02:25:26,"Pandas(_0='Genki Sushi', CITY='Bellevue', LATITUDE=47.57476, LONGITUDE=-122.17113, _4='Full-Service Restaurants')"
2018-11-28T00:03:11,2018-11-28T00:31:16,"Pandas(_0='Teriyaki Time', CITY='Bellevue', LATITUDE=47.57572, LONGITUDE=-122.16871, _4='Full-Service Restaurants')"
2018-12-04T01:27:30,2018-12-04T01:45:39,"Pandas(_0='Azteca Mexican Restaurants', CITY='Bellevue', LATITUDE=47.6115, LONGITUDE=-122.18976, _4='Full-Service Restaurants')"
2018-12-04T19:36:31,2018-12-04T19:58:29,"Pandas(_0='Greek Express', CITY='Bellevue', LATITUDE=47.60962, LONGITUDE=-122.14175, _4='Full-Service Restaurants')"
2018-12-06T19:24:08,2018-12-06T19:40:30,"Pandas(_0='Marinepolis Sushi Land', CITY='Bellevue', LATITUDE=47.611353, LONGITUDE=-122.197145, _4='Full-Service Restaurants')"
2018-12-06T19:49:31,2018-12-06T20:13:38,"Pandas(_0=""Jimmy John's"", CITY='Bellevue', LATITUDE=47.61125, LONGITUDE=-122.199663, _4='Limited-Service Restaurants')"
2018-12-30T18:51:39,2018-12-30T19:11:26,"Pandas(_0='Genki Sushi', CITY='Bellevue', LATITUDE=47.57476, LONGITUDE=-122.17113, _4='Full-Service Restaurants')"
2019-01-02T19:45:53,2019-01-02T20:02:37,"Pandas(_0='Greek Express', CITY='Bellevue', LATITUDE=47.60962, LONGITUDE=-122.14175, _4='Full-Service Restaurants')"
2019-01-15T19:17:26,2019-01-15T19:40:53,"Pandas(_0='Greek Express', CITY='Bellevue', LATITUDE=47.60962, LONGITUDE=-122.14175, _4='Full-Service Restaurants')"
2019-01-21T19:37:35,2019-01-21T19:56:32,"Pandas(_0='Genki Sushi', CITY='Bellevue', LATITUDE=47.57476, LONGITUDE=-122.17113, _4='Full-Service Restaurants')"
