start,end,outlet info
2012-03-16T05:23:04,2012-03-16T06:04:33,"Pandas(_0='Chinese Garden Restaurant', CITY='Camas', LATITUDE=45.585876, LONGITUDE=-122.371398, _4='Full-Service Restaurants')"
2012-03-23T01:33:41,2012-03-23T03:53:53,"Pandas(_0='Vinotopia Restaurant', CITY='Vancouver', LATITUDE=45.616626, LONGITUDE=-122.551011, _4='Full-Service Restaurants')"
2012-03-25T17:31:28,2012-03-25T18:36:28,"Pandas(_0=""Los Pepe's Inc"", CITY='Battle Ground', LATITUDE=45.775211, LONGITUDE=-122.524289, _4='Full-Service Restaurants')"
2012-04-06T22:17:53,2012-04-06T23:00:27,"Pandas(_0='Blue Castle', CITY='Battle Ground', LATITUDE=45.775389, LONGITUDE=-122.52362, _4='Full-Service Restaurants')"
2012-04-21T21:10:11,2012-04-21T21:31:39,"Pandas(_0='Fern Prairie Market', CITY='Camas', LATITUDE=45.636474, LONGITUDE=-122.397888, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-04-27T17:56:28,2012-04-27T18:37:05,"Pandas(_0='Albertsons', CITY='Vancouver', LATITUDE=45.723852, LONGITUDE=-122.652929, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-04-27T19:06:00,2012-04-27T19:54:57,"Pandas(_0=""Wendy's"", CITY='Vancouver', LATITUDE=45.681518, LONGITUDE=-122.666381, _4='Limited-Service Restaurants')"
2012-04-29T18:05:52,2012-04-29T18:36:49,"Pandas(_0='Sonic Drive-In', CITY='Vancouver', LATITUDE=45.615014, LONGITUDE=-122.476499, _4='Limited-Service Restaurants')"
2012-05-01T22:06:47,2012-05-01T22:35:54,"Pandas(_0='Little Caesars Pizza', CITY='Camas', LATITUDE=45.585817, LONGITUDE=-122.370654, _4='Limited-Service Restaurants')"
2012-05-01T22:36:39,2012-05-01T22:53:39,"Pandas(_0='Little Caesars Pizza', CITY='Camas', LATITUDE=45.585817, LONGITUDE=-122.370654, _4='Limited-Service Restaurants')"
2012-05-04T00:34:25,2012-05-04T00:59:39,"Pandas(_0='Safeway', CITY='Camas', LATITUDE=45.586883, LONGITUDE=-122.399418, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2012-05-07T00:07:12,2012-05-07T01:11:30,"Pandas(_0='Blue Castle', CITY='Battle Ground', LATITUDE=45.775389, LONGITUDE=-122.52362, _4='Full-Service Restaurants')"
2012-05-22T20:34:53,2012-05-22T22:03:28,"Pandas(_0=""Los Pepe's Inc"", CITY='Battle Ground', LATITUDE=45.775211, LONGITUDE=-122.524289, _4='Full-Service Restaurants')"
2012-05-30T00:43:53,2012-05-30T00:58:58,"Pandas(_0='Costco Wholesale', CITY='Camas', LATITUDE=45.62254, LONGITUDE=-122.471963, _4='Warehouse Clubs & Supercenters')"
2012-05-30T00:59:44,2012-05-30T01:25:07,"Pandas(_0='Costco Wholesale', CITY='Camas', LATITUDE=45.62254, LONGITUDE=-122.471963, _4='Warehouse Clubs & Supercenters')"
2012-06-04T22:23:13,2012-06-04T23:43:55,"Pandas(_0=""Los Pepe's Inc"", CITY='Battle Ground', LATITUDE=45.775211, LONGITUDE=-122.524289, _4='Full-Service Restaurants')"
