start,end,outlet info
2016-03-21T00:34:42,2016-03-21T01:10:08,"Pandas(_0='Wing Dome', CITY='Seattle', LATITUDE=47.68609, LONGITUDE=-122.354998, _4='Full-Service Restaurants')"
2016-03-21T20:29:20,2016-03-21T21:30:36,"Pandas(_0='Wing Dome', CITY='Seattle', LATITUDE=47.68609, LONGITUDE=-122.354998, _4='Full-Service Restaurants')"
2016-03-25T01:12:00,2016-03-25T02:18:40,"Pandas(_0='Voyeur', CITY='Olympia', LATITUDE=47.045214, LONGITUDE=-122.897769, _4='Full-Service Restaurants')"
2016-03-26T03:28:41,2016-03-26T05:33:21,"Pandas(_0='Wing Dome', CITY='Seattle', LATITUDE=47.68609, LONGITUDE=-122.354998, _4='Full-Service Restaurants')"
2016-03-27T03:03:30,2016-03-27T04:03:22,"Pandas(_0='Wing Dome', CITY='Seattle', LATITUDE=47.68609, LONGITUDE=-122.354998, _4='Full-Service Restaurants')"
2016-05-10T19:56:12,2016-05-10T21:03:35,"Pandas(_0='LA Fondita II', CITY='Tacoma', LATITUDE=47.27134, LONGITUDE=-122.48919, _4='Full-Service Restaurants')"
2016-05-11T01:00:47,2016-05-11T03:01:12,"Pandas(_0='C I Shenanigans-Tacoma', CITY='Tacoma', LATITUDE=47.280085, LONGITUDE=-122.475402, _4='Full-Service Restaurants')"
2016-09-07T19:11:04,2016-09-07T19:31:02,"Pandas(_0='May', CITY='Seattle', LATITUDE=47.661612, LONGITUDE=-122.338548, _4='Full-Service Restaurants')"
2016-09-07T19:46:40,2016-09-07T20:25:56,"Pandas(_0='Kozue Restaurant', CITY='Seattle', LATITUDE=47.661612, LONGITUDE=-122.338702, _4='Full-Service Restaurants')"
2016-09-08T02:34:05,2016-09-08T03:16:45,"Pandas(_0='Craft Bar & Grill', CITY='Bellingham', LATITUDE=48.749324, LONGITUDE=-122.475836, _4='Full-Service Restaurants')"
2017-03-24T01:19:04,2017-03-24T02:18:35,"Pandas(_0=""Hop Jack's"", CITY='Lacey', LATITUDE=46.998669, LONGITUDE=-122.82364, _4='Full-Service Restaurants')"
2017-03-25T19:12:16,2017-03-25T19:28:14,"Pandas(_0='Lumberyard Pizza', CITY='University Place', LATITUDE=47.2274, LONGITUDE=-122.536238, _4='Full-Service Restaurants')"
2017-03-26T02:41:33,2017-03-26T03:23:12,"Pandas(_0='Sweetgrass Food Co', CITY='Seattle', LATITUDE=47.615137, LONGITUDE=-122.3377, _4='Full-Service Restaurants')"
2017-03-26T05:11:12,2017-03-26T05:33:45,"Pandas(_0=""Mc Donald's"", CITY='Seattle', LATITUDE=47.614407, LONGITUDE=-122.337945, _4='Limited-Service Restaurants')"
2017-03-26T05:57:24,2017-03-26T06:38:11,"Pandas(_0=""Mc Donald's"", CITY='Seattle', LATITUDE=47.614407, LONGITUDE=-122.337945, _4='Limited-Service Restaurants')"
2017-03-26T06:39:07,2017-03-26T07:37:11,"Pandas(_0=""Mc Donald's"", CITY='Seattle', LATITUDE=47.614407, LONGITUDE=-122.337945, _4='Limited-Service Restaurants')"
2017-03-26T08:14:37,2017-03-26T09:19:04,"Pandas(_0='Sound Soups & Deli', CITY='Seattle', LATITUDE=47.614507, LONGITUDE=-122.338614, _4='Full-Service Restaurants')"
2017-03-27T03:48:56,2017-03-27T04:15:14,"Pandas(_0=""Wendy's"", CITY='Seattle', LATITUDE=47.667771, LONGITUDE=-122.376772, _4='Limited-Service Restaurants')"
2017-03-27T04:16:38,2017-03-27T04:40:13,"Pandas(_0=""Wendy's"", CITY='Seattle', LATITUDE=47.667771, LONGITUDE=-122.376772, _4='Limited-Service Restaurants')"
2017-03-27T04:55:25,2017-03-27T06:31:00,"Pandas(_0='Bitterroot Bbq', CITY='Seattle', LATITUDE=47.666175, LONGITUDE=-122.383354, _4='Full-Service Restaurants')"
2017-11-26T19:31:50,2017-11-26T20:50:52,"Pandas(_0='Ridge Pizza', CITY='Seattle', LATITUDE=47.681288, LONGITUDE=-122.355663, _4='Full-Service Restaurants')"
2017-11-26T23:47:48,2017-11-27T01:30:19,"Pandas(_0='Mean Sandwich', CITY='Seattle', LATITUDE=47.663909, LONGITUDE=-122.376844, _4='Limited-Service Restaurants')"
2017-11-27T01:30:45,2017-11-27T02:42:45,"Pandas(_0='Mean Sandwich', CITY='Seattle', LATITUDE=47.663909, LONGITUDE=-122.376844, _4='Limited-Service Restaurants')"
2017-11-27T02:47:47,2017-11-27T03:14:05,"Pandas(_0=""Bad Albert's Tap & Grill"", CITY='Seattle', LATITUDE=47.66471, LONGITUDE=-122.380768, _4='Full-Service Restaurants')"
