start,end,outlet info
2019-08-11T17:23:43,2019-08-11T17:53:22,"Pandas(_0=""Mc Donald's"", CITY='Centralia', LATITUDE=46.729995, LONGITUDE=-122.978248, _4='Limited-Service Restaurants')"
2021-08-16T17:50:32,2021-08-16T18:07:03,"Pandas(_0='Roomian Cafe', CITY='Issaquah', LATITUDE=47.547106, LONGITUDE=-122.037086, _4='Full-Service Restaurants')"
2023-01-16T13:43:35,2023-01-16T14:51:38,"Pandas(_0='Perkins Restaurant & Bakery', CITY='Spokane', LATITUDE=47.66083, LONGITUDE=-117.410794, _4='Full-Service Restaurants')"
2023-02-19T21:50:34,2023-02-19T22:11:55,"Pandas(_0='SUBWAY', CITY='Lakewood', LATITUDE=47.121243, LONGITUDE=-122.554068, _4='Limited-Service Restaurants')"
2023-12-22T20:50:40,2023-12-22T21:07:31,"Pandas(_0='Asia BBQ & Fast Food', CITY='Seattle', LATITUDE=47.599143, LONGITUDE=-122.324324, _4='Full-Service Restaurants')"
