start,end,outlet info
2018-07-26T03:31:10,2018-07-26T04:14:22,"Pandas(_0='Longhorn Barbecue', CITY='Spokane Valley', LATITUDE=47.678226, LONGITUDE=-117.283576, _4='Full-Service Restaurants')"
2018-08-03T21:20:50,2018-08-03T21:42:57,"Pandas(_0='Froyo Earth-Wandermere', CITY='Spokane', LATITUDE=47.771709, LONGITUDE=-117.405049, _4='Full-Service Restaurants')"
2018-08-08T04:04:46,2018-08-08T04:33:09,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2018-08-09T18:55:43,2018-08-09T20:27:23,"Pandas(_0='SUBWAY', CITY='Mccleary', LATITUDE=47.055239, LONGITUDE=-123.267754, _4='Limited-Service Restaurants')"
2018-08-10T19:14:47,2018-08-10T20:35:20,"Pandas(_0='SUBWAY', CITY='Mccleary', LATITUDE=47.055239, LONGITUDE=-123.267754, _4='Limited-Service Restaurants')"
2018-08-25T01:50:11,2018-08-25T02:47:48,"Pandas(_0=""Anthony's At Spokane Falls"", CITY='Spokane', LATITUDE=47.663, LONGITUDE=-117.42477, _4='Full-Service Restaurants')"
2018-08-31T21:48:38,2018-08-31T22:09:14,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2018-09-03T00:52:27,2018-09-03T01:32:58,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2018-09-04T00:33:53,2018-09-04T00:56:09,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2018-10-15T02:33:56,2018-10-15T02:50:48,"Pandas(_0='Munchen Haus', CITY='Leavenworth', LATITUDE=47.594424, LONGITUDE=-120.662958, _4='Full-Service Restaurants')"
2018-11-15T01:38:47,2018-11-15T03:41:59,"Pandas(_0='Das Stein Haus', CITY='Spokane', LATITUDE=47.716581, LONGITUDE=-117.438727, _4='Full-Service Restaurants')"
2018-11-16T16:36:05,2018-11-16T16:53:09,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2018-12-12T23:57:42,2018-12-13T00:25:55,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2018-12-29T19:29:16,2018-12-29T19:55:34,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2019-04-02T22:27:45,2019-04-02T23:00:48,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-04-03T00:45:55,2019-04-03T01:12:56,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2019-05-01T01:59:21,2019-05-01T02:15:58,"Pandas(_0='Sante Restaurant & Charcuterie', CITY='Spokane', LATITUDE=47.659384, LONGITUDE=-117.418598, _4='Full-Service Restaurants')"
2019-05-01T02:25:42,2019-05-01T04:07:35,"Pandas(_0=""P F Chang's China Bistro"", CITY='Spokane', LATITUDE=47.65881, LONGITUDE=-117.423756, _4='Full-Service Restaurants')"
2019-05-02T05:13:33,2019-05-02T06:20:48,"Pandas(_0=""Home Accents/Frank's Pizzaria"", CITY='Spokane', LATITUDE=47.769587, LONGITUDE=-117.408115, _4='Full-Service Restaurants')"
2019-06-04T22:14:34,2019-06-04T22:41:46,"Pandas(_0='Cash & Carry Smart Foodservice', CITY='Spokane', LATITUDE=47.727062, LONGITUDE=-117.408703, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2019-06-07T00:42:53,2019-06-07T02:45:37,"Pandas(_0=""Home Accents/Frank's Pizzaria"", CITY='Spokane', LATITUDE=47.769587, LONGITUDE=-117.408115, _4='Full-Service Restaurants')"
2019-06-27T19:45:12,2019-06-27T20:19:41,"Pandas(_0='De Leon Foods', CITY='Spokane Valley', LATITUDE=47.655933, LONGITUDE=-117.195211, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2019-06-30T00:56:50,2019-06-30T01:19:51,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-07-02T01:05:57,2019-07-02T03:07:20,"Pandas(_0='Das Stein Haus', CITY='Spokane', LATITUDE=47.716581, LONGITUDE=-117.438727, _4='Full-Service Restaurants')"
2019-07-18T01:02:08,2019-07-18T01:25:36,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2019-07-18T01:53:05,2019-07-18T02:41:22,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-07-19T20:11:12,2019-07-19T20:56:50,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-07-23T00:28:32,2019-07-23T01:02:33,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-07-25T00:56:29,2019-07-25T01:34:11,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2019-10-19T00:04:05,2019-10-19T00:22:47,"Pandas(_0='Steelhead Bar & Grille', CITY='Spokane', LATITUDE=47.659689, LONGITUDE=-117.420782, _4='Full-Service Restaurants')"
2019-10-28T00:08:36,2019-10-28T01:09:06,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2019-10-28T15:49:29,2019-10-28T16:50:15,"Pandas(_0='Mr Wok Restaurant', CITY='Spokane', LATITUDE=47.7415, LONGITUDE=-117.409346, _4='Full-Service Restaurants')"
2019-11-10T23:22:43,2019-11-10T23:58:08,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2019-11-20T23:39:36,2019-11-21T00:01:07,"Pandas(_0='Clinkerdagger', CITY='Spokane', LATITUDE=47.664931, LONGITUDE=-117.422638, _4='Full-Service Restaurants')"
2019-11-26T00:47:54,2019-11-26T01:03:07,"Pandas(_0='Fred Meyer', CITY='Spokane Valley', LATITUDE=47.658828, LONGITUDE=-117.193806, _4='Department Stores')"
2020-01-03T23:59:37,2020-01-04T02:29:24,"Pandas(_0=""Milford's Fish House"", CITY='Spokane', LATITUDE=47.66422, LONGITUDE=-117.42684, _4='Full-Service Restaurants')"
2020-01-04T23:28:27,2020-01-05T00:04:01,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2020-01-14T01:16:04,2020-01-14T02:47:17,"Pandas(_0='Old European', CITY='Spokane', LATITUDE=47.727422, LONGITUDE=-117.410652, _4='Full-Service Restaurants')"
2020-02-09T19:12:27,2020-02-09T19:36:54,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-02-10T01:43:25,2020-02-10T02:56:25,"Pandas(_0=""Sergio's Mexican Sports Grill"", CITY='Spokane', LATITUDE=47.657664, LONGITUDE=-117.424719, _4='Full-Service Restaurants')"
2020-02-16T02:02:44,2020-02-16T04:02:17,"Pandas(_0='Steelhead Bar & Grille', CITY='Spokane', LATITUDE=47.659689, LONGITUDE=-117.420782, _4='Full-Service Restaurants')"
2020-02-17T21:54:40,2020-02-17T22:12:13,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-02-24T23:45:37,2020-02-25T00:02:07,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-03-01T02:32:32,2020-03-01T02:58:11,"Pandas(_0='SUBWAY', CITY='Spokane', LATITUDE=47.703414, LONGITUDE=-117.411405, _4='Limited-Service Restaurants')"
2020-03-12T00:07:56,2020-03-12T00:39:46,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2020-03-12T21:03:37,2020-03-12T21:33:40,"Pandas(_0='Nudo Ramen House', CITY='Spokane', LATITUDE=47.745975, LONGITUDE=-117.404516, _4='Full-Service Restaurants')"
2020-03-14T01:13:02,2020-03-14T02:16:14,"Pandas(_0='Palm Court Grill', CITY='Spokane', LATITUDE=47.656878, LONGITUDE=-117.424256, _4='Full-Service Restaurants')"
2020-05-29T22:34:10,2020-05-29T23:15:04,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-06-03T18:14:05,2020-06-03T18:50:47,"Pandas(_0='El Rincon Tapatio', CITY='Spokane', LATITUDE=47.68666, LONGITUDE=-117.36555, _4='Full-Service Restaurants')"
2020-06-10T01:00:50,2020-06-10T02:26:33,"Pandas(_0='Foodies', CITY='Kennewick', LATITUDE=46.208729, LONGITUDE=-119.121955, _4='Full-Service Restaurants')"
2020-06-12T00:03:52,2020-06-12T01:59:16,"Pandas(_0=""P F Chang's China Bistro"", CITY='Spokane', LATITUDE=47.65881, LONGITUDE=-117.423756, _4='Full-Service Restaurants')"
2020-06-18T20:40:22,2020-06-18T21:03:01,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-06-20T18:47:51,2020-06-20T19:08:43,"Pandas(_0='Casa De Oro', CITY='Spokane', LATITUDE=47.695913, LONGITUDE=-117.411521, _4='Full-Service Restaurants')"
2020-07-09T01:15:54,2020-07-09T03:42:57,"Pandas(_0='Casper Fry', CITY='Spokane', LATITUDE=47.646331, LONGITUDE=-117.390017, _4='Full-Service Restaurants')"
2020-07-18T12:55:54,2020-07-18T13:10:59,"Pandas(_0=""Chili's Grill & Bar"", CITY='Spokane', LATITUDE=47.625456, LONGITUDE=-117.537243, _4='Full-Service Restaurants')"
2020-08-05T20:26:33,2020-08-05T20:48:45,"Pandas(_0='Casa De Oro', CITY='Spokane', LATITUDE=47.695913, LONGITUDE=-117.411521, _4='Full-Service Restaurants')"
2020-08-25T18:43:28,2020-08-25T19:04:32,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2020-08-27T22:39:37,2020-08-27T22:58:58,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2020-09-03T03:17:55,2020-09-03T04:36:22,"Pandas(_0='Hong Kong Buffet', CITY='Spokane Valley', LATITUDE=47.6738, LONGITUDE=-117.208741, _4='Limited-Service Restaurants')"
2020-10-16T16:13:08,2020-10-16T16:51:37,"Pandas(_0='Old European', CITY='Spokane', LATITUDE=47.727422, LONGITUDE=-117.410652, _4='Full-Service Restaurants')"
2020-10-21T00:45:05,2020-10-21T01:59:52,"Pandas(_0='Scratch Spokane', CITY='Spokane', LATITUDE=47.656214, LONGITUDE=-117.426987, _4='Full-Service Restaurants')"
2020-10-21T02:15:59,2020-10-21T02:47:10,"Pandas(_0='Scratch Spokane', CITY='Spokane', LATITUDE=47.656214, LONGITUDE=-117.426987, _4='Full-Service Restaurants')"
2020-10-22T03:42:26,2020-10-22T04:51:18,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Spokane Valley', LATITUDE=47.674214, LONGITUDE=-117.203554, _4='Full-Service Restaurants')"
2020-10-22T16:23:34,2020-10-22T17:11:25,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2020-10-22T18:29:54,2020-10-22T18:47:27,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2020-11-03T20:00:14,2020-11-03T20:45:29,"Pandas(_0='Wall Street Diner', CITY='Spokane', LATITUDE=47.699255, LONGITUDE=-117.421598, _4='Full-Service Restaurants')"
2020-11-12T01:00:43,2020-11-12T03:07:03,"Pandas(_0='Casper Fry', CITY='Spokane', LATITUDE=47.646331, LONGITUDE=-117.390017, _4='Full-Service Restaurants')"
2020-11-21T20:23:36,2020-11-21T20:55:35,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2020-12-23T00:32:28,2020-12-23T01:53:00,"Pandas(_0='El Caporal Restaurant', CITY='Selah', LATITUDE=46.654331, LONGITUDE=-120.529968, _4='Full-Service Restaurants')"
2021-02-16T02:10:37,2021-02-16T02:38:47,"Pandas(_0='MOD Pizza', CITY='Spokane', LATITUDE=47.743479, LONGITUDE=-117.408448, _4='Full-Service Restaurants')"
2021-02-18T02:07:39,2021-02-18T02:34:54,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2021-02-18T02:40:34,2021-02-18T03:05:12,"Pandas(_0='SUBWAY', CITY='Spokane', LATITUDE=47.703414, LONGITUDE=-117.411405, _4='Limited-Service Restaurants')"
2021-03-12T23:28:07,2021-03-12T23:48:10,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2021-04-06T01:23:52,2021-04-06T01:40:07,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2021-04-06T17:24:59,2021-04-06T18:01:11,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2021-04-08T22:06:10,2021-04-08T22:23:31,"Pandas(_0='Clinkerdagger', CITY='Spokane', LATITUDE=47.664931, LONGITUDE=-117.422638, _4='Full-Service Restaurants')"
2021-04-26T23:19:15,2021-04-26T23:39:11,"Pandas(_0='Casa De Oro', CITY='Spokane', LATITUDE=47.695913, LONGITUDE=-117.411521, _4='Full-Service Restaurants')"
2021-05-11T01:43:54,2021-05-11T03:43:50,"Pandas(_0='Casper Fry', CITY='Spokane', LATITUDE=47.646331, LONGITUDE=-117.390017, _4='Full-Service Restaurants')"
2021-05-12T00:33:14,2021-05-12T00:54:30,"Pandas(_0='Cash & Carry Smart Foodservice', CITY='Spokane', LATITUDE=47.727062, LONGITUDE=-117.408703, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2021-05-14T01:52:32,2021-05-14T02:14:04,"Pandas(_0='De Leon Foods Inc', CITY='Spokane', LATITUDE=47.714721, LONGITUDE=-117.407555, _4='Full-Service Restaurants')"
2021-06-02T01:09:06,2021-06-02T01:32:52,"Pandas(_0='Fred Meyer', CITY='Spokane', LATITUDE=47.7675, LONGITUDE=-117.402752, _4='Department Stores')"
2021-06-07T19:15:38,2021-06-07T20:11:48,"Pandas(_0='Wall Street Diner', CITY='Spokane', LATITUDE=47.699255, LONGITUDE=-117.421598, _4='Full-Service Restaurants')"
2021-07-16T01:20:13,2021-07-16T03:08:36,"Pandas(_0='Casper Fry', CITY='Spokane', LATITUDE=47.646331, LONGITUDE=-117.390017, _4='Full-Service Restaurants')"
2021-07-20T22:18:03,2021-07-20T23:02:17,"Pandas(_0='Clinkerdagger', CITY='Spokane', LATITUDE=47.664931, LONGITUDE=-117.422638, _4='Full-Service Restaurants')"
2021-09-02T20:59:26,2021-09-02T21:29:44,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Spokane', LATITUDE=47.768006, LONGITUDE=-117.402756, _4='Limited-Service Restaurants')"
2021-09-04T20:26:20,2021-09-04T20:42:53,"Pandas(_0='Casa De Oro', CITY='Spokane', LATITUDE=47.695913, LONGITUDE=-117.411521, _4='Full-Service Restaurants')"
