start,end,outlet info
2016-03-02T20:33:13,2016-03-02T20:49:19,"Pandas(_0='LA Costa Mexican Restaurant', CITY='Vancouver', LATITUDE=45.656476, LONGITUDE=-122.590043, _4='Full-Service Restaurants')"
2016-03-11T00:47:22,2016-03-11T01:36:36,"Pandas(_0=""Wendy's"", CITY='Vancouver', LATITUDE=45.681518, LONGITUDE=-122.666381, _4='Limited-Service Restaurants')"
2016-03-16T06:30:17,2016-03-16T07:17:20,"Pandas(_0='Brickhouse Bar & Grill', CITY='Vancouver', LATITUDE=45.632512, LONGITUDE=-122.671674, _4='Full-Service Restaurants')"
2016-04-04T00:46:02,2016-04-04T01:06:03,"Pandas(_0='Safeway', CITY='Vancouver', LATITUDE=45.641296, LONGITUDE=-122.556701, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2016-04-10T00:48:31,2016-04-10T01:03:32,"Pandas(_0='Safeway', CITY='Vancouver', LATITUDE=45.641296, LONGITUDE=-122.556701, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2016-04-19T23:05:14,2016-04-19T23:53:50,"Pandas(_0='Chipotle Mexican Grill', CITY='Vancouver', LATITUDE=45.615161, LONGITUDE=-122.504133, _4='Limited-Service Restaurants')"
2016-07-11T00:21:37,2016-07-11T02:30:46,"Pandas(_0=""Wendy's"", CITY='Vancouver', LATITUDE=45.681518, LONGITUDE=-122.666381, _4='Limited-Service Restaurants')"
2016-07-25T00:23:34,2016-07-25T01:37:20,"Pandas(_0='LA Costa Mexican Restaurant', CITY='Vancouver', LATITUDE=45.656476, LONGITUDE=-122.590043, _4='Full-Service Restaurants')"
2016-09-18T00:14:18,2016-09-18T00:52:46,"Pandas(_0='Fred Meyer', CITY='Vancouver', LATITUDE=45.619407, LONGITUDE=-122.555528, _4='Department Stores')"
2016-11-12T00:35:57,2016-11-12T01:09:30,"Pandas(_0='Red Lobster', CITY='Vancouver', LATITUDE=45.656677, LONGITUDE=-122.588195, _4='Full-Service Restaurants')"
2015-12-18T00:19:23,2015-12-18T01:28:01,"Pandas(_0='Blue Castle', CITY='Battle Ground', LATITUDE=45.775389, LONGITUDE=-122.52362, _4='Full-Service Restaurants')"
2016-01-26T01:32:43,2016-01-26T01:51:52,"Pandas(_0=""Wendy's"", CITY='Vancouver', LATITUDE=45.681518, LONGITUDE=-122.666381, _4='Limited-Service Restaurants')"
2016-02-02T06:02:33,2016-02-02T07:25:54,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Vancouver', LATITUDE=45.655188, LONGITUDE=-122.587416, _4='Full-Service Restaurants')"
2016-02-21T03:37:05,2016-02-21T05:33:32,"Pandas(_0='Red Robin Gourmet Burgers', CITY='Vancouver', LATITUDE=45.655188, LONGITUDE=-122.587416, _4='Full-Service Restaurants')"
2017-03-07T00:54:00,2017-03-07T01:13:21,"Pandas(_0='Safeway', CITY='Vancouver', LATITUDE=45.641296, LONGITUDE=-122.556701, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2017-04-10T00:54:48,2017-04-10T01:44:35,"Pandas(_0='Fred Meyer', CITY='Vancouver', LATITUDE=45.619407, LONGITUDE=-122.555528, _4='Department Stores')"
2017-04-18T19:19:18,2017-04-18T20:09:45,"Pandas(_0=""Hudson's Bar & Grill"", CITY='Vancouver', LATITUDE=45.65362, LONGITUDE=-122.59204, _4='Full-Service Restaurants')"
2017-05-11T01:34:03,2017-05-11T01:52:19,"Pandas(_0='Safeway', CITY='Vancouver', LATITUDE=45.681701, LONGITUDE=-122.66809, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
