start,end,outlet info
2016-04-09T18:43:45,2016-04-09T20:41:33,"Pandas(_0='Hanazono Asian Noodle', CITY='Port Townsend', LATITUDE=48.11447, LONGITUDE=-122.75675, _4='Full-Service Restaurants')"
2016-04-09T21:05:36,2016-04-09T21:26:59,"Pandas(_0='Safeway', CITY='Port Townsend', LATITUDE=48.108146, LONGITUDE=-122.782355, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2016-04-11T16:55:54,2016-04-11T17:13:59,"Pandas(_0='LA Brea Bakery', CITY='Seattle', LATITUDE=47.611013, LONGITUDE=-122.33942, _4='Full-Service Restaurants')"
2016-04-11T18:25:03,2016-04-11T18:53:29,"Pandas(_0=""Rory's Of Edmonds"", CITY='Edmonds', LATITUDE=47.812314, LONGITUDE=-122.381515, _4='Full-Service Restaurants')"
2016-04-22T00:15:43,2016-04-22T01:59:00,"Pandas(_0='Big Time Brewery & Alehouse', CITY='Seattle', LATITUDE=47.657865, LONGITUDE=-122.313288, _4='Full-Service Restaurants')"
2016-04-22T02:09:20,2016-04-22T02:56:44,"Pandas(_0='Shalimar Restaurant', CITY='Seattle', LATITUDE=47.658759, LONGITUDE=-122.312883, _4='Full-Service Restaurants')"
2016-04-24T20:15:02,2016-04-24T21:24:12,"Pandas(_0='King Noodle', CITY='Seattle', LATITUDE=47.598324, LONGITUDE=-122.32551, _4='Full-Service Restaurants')"
2016-04-24T21:28:32,2016-04-24T22:01:05,"Pandas(_0='Shilla Uwajimaya', CITY='Seattle', LATITUDE=47.597484, LONGITUDE=-122.326689, _4='Full-Service Restaurants')"
2016-04-25T00:52:59,2016-04-25T01:55:02,"Pandas(_0=""Shultzy's Sausage"", CITY='Seattle', LATITUDE=47.65728, LONGITUDE=-122.313172, _4='Full-Service Restaurants')"
2016-04-26T00:43:29,2016-04-26T01:28:07,"Pandas(_0='U Don Fresh Japanese Noodle', CITY='Seattle', LATITUDE=47.661735, LONGITUDE=-122.313192, _4='Full-Service Restaurants')"
2016-04-26T23:17:16,2016-04-26T23:52:07,"Pandas(_0='Ristorante Doria', CITY='Seattle', LATITUDE=47.664935, LONGITUDE=-122.317474, _4='Full-Service Restaurants')"
2016-04-28T01:50:08,2016-04-28T02:12:20,"Pandas(_0='Shawerma King', CITY='Seattle', LATITUDE=47.660998, LONGITUDE=-122.313208, _4='Full-Service Restaurants')"
2016-04-29T01:14:57,2016-04-29T02:27:59,"Pandas(_0='Shalimar Restaurant', CITY='Seattle', LATITUDE=47.658759, LONGITUDE=-122.312883, _4='Full-Service Restaurants')"
2016-04-30T03:41:26,2016-04-30T04:43:26,"Pandas(_0=""Earl's On The Ave"", CITY='Seattle', LATITUDE=47.660813, LONGITUDE=-122.313472, _4='Full-Service Restaurants')"
2016-05-01T01:54:40,2016-05-01T02:20:39,"Pandas(_0=""Memo's Mexican Food"", CITY='Seattle', LATITUDE=47.66433, LONGITUDE=-122.31327, _4='Full-Service Restaurants')"
2016-05-06T02:05:56,2016-05-06T02:20:59,"Pandas(_0='Safeway', CITY='Seattle', LATITUDE=47.664281, LONGITUDE=-122.313907, _4='Supermarkets/Other Grocery (Exc Convenience) Strs')"
2016-05-06T04:05:04,2016-05-06T04:52:00,"Pandas(_0='Pho Tran Restaurant', CITY='Seattle', LATITUDE=47.658779, LONGITUDE=-122.313544, _4='Full-Service Restaurants')"
2016-05-07T00:25:45,2016-05-07T02:31:48,"Pandas(_0='University Teriyaki', CITY='Seattle', LATITUDE=47.65718, LONGITUDE=-122.312935, _4='Full-Service Restaurants')"
2016-05-11T01:03:56,2016-05-11T01:48:14,"Pandas(_0='University Teriyaki', CITY='Seattle', LATITUDE=47.65718, LONGITUDE=-122.312935, _4='Full-Service Restaurants')"
2016-05-12T00:30:31,2016-05-12T02:58:11,"Pandas(_0='Cedars Of Lebanon', CITY='Seattle', LATITUDE=47.659746, LONGITUDE=-122.312859, _4='Full-Service Restaurants')"
2016-05-13T01:04:07,2016-05-13T02:39:54,"Pandas(_0='Shalimar Restaurant', CITY='Seattle', LATITUDE=47.658759, LONGITUDE=-122.312883, _4='Full-Service Restaurants')"
2016-05-14T18:39:04,2016-05-14T19:16:21,"Pandas(_0='Cafe On The Aveune', CITY='Seattle', LATITUDE=47.658501, LONGITUDE=-122.313556, _4='Full-Service Restaurants')"
2016-05-15T02:48:11,2016-05-15T03:46:56,"Pandas(_0=""Taste Of Xi'An"", CITY='Seattle', LATITUDE=47.661971, LONGITUDE=-122.31345, _4='Full-Service Restaurants')"
2016-05-19T00:01:20,2016-05-19T01:54:51,"Pandas(_0='Tahn Brothers Restaurant', CITY='Seattle', LATITUDE=47.65858, LONGITUDE=-122.3134, _4='Full-Service Restaurants')"
