start,end,outlet info
2019-02-18T18:31:01,2019-02-18T20:39:01,"Pandas(_0=""Joe's Deli"", CITY='Federal Way', LATITUDE=47.301018, LONGITUDE=-122.317308, _4='Limited-Service Restaurants')"
2019-02-18T20:44:20,2019-02-18T21:12:53,"Pandas(_0=""Joe's Deli"", CITY='Federal Way', LATITUDE=47.301018, LONGITUDE=-122.317308, _4='Limited-Service Restaurants')"
2019-02-20T02:47:08,2019-02-20T03:02:47,"Pandas(_0=""Mc Donald's"", CITY='Centralia', LATITUDE=46.729995, LONGITUDE=-122.978248, _4='Limited-Service Restaurants')"
2022-02-09T22:12:03,2022-02-09T22:46:26,"Pandas(_0='Herbfarm', CITY='Woodinville', LATITUDE=47.73361, LONGITUDE=-122.14689, _4='Full-Service Restaurants')"
2022-02-12T01:59:03,2022-02-12T03:06:41,"Pandas(_0=""Zulu's Board Game Cafe"", CITY='Bothell', LATITUDE=47.760551, LONGITUDE=-122.202383, _4='Full-Service Restaurants')"
2022-02-12T21:43:36,2022-02-12T22:06:22,"Pandas(_0='Re Public Restaurant & Bar', CITY='Seattle', LATITUDE=47.623011, LONGITUDE=-122.338532, _4='Full-Service Restaurants')"
2022-02-19T19:41:03,2022-02-19T20:14:14,"Pandas(_0=""Papa Murphy's Take 'N' Bake"", CITY='Mountlake Ter', LATITUDE=47.807916, LONGITUDE=-122.291712, _4='Limited-Service Restaurants')"
2025-03-21T01:49:28,2025-03-21T02:05:30,"Pandas(_0='Bonefish Grill', CITY='Bothell', LATITUDE=47.79333, LONGITUDE=-122.21602, _4='Full-Service Restaurants')"
2025-03-22T21:22:23,2025-03-22T22:03:54,"Pandas(_0='Pen Thai Restaurant', CITY='Bothell', LATITUDE=47.759852, LONGITUDE=-122.205036, _4='Full-Service Restaurants')"
2025-03-23T22:12:03,2025-03-23T23:34:10,"Pandas(_0='Terra Plata', CITY='Seattle', LATITUDE=47.614094, LONGITUDE=-122.327983, _4='Full-Service Restaurants')"
2025-03-25T19:27:32,2025-03-25T20:28:30,"Pandas(_0='El Puerto Mexican Restaurant', CITY='Edmonds', LATITUDE=47.810807, LONGITUDE=-122.377886, _4='Full-Service Restaurants')"
