start,end,outlet info
2015-05-30T04:06:39,2015-05-30T04:28:28,"Pandas(_0=""Ivar's Salmon House"", CITY='Seattle', LATITUDE=47.653614, LONGITUDE=-122.324059, _4='Full-Service Restaurants')"
2015-08-29T00:13:14,2015-08-29T01:21:51,"Pandas(_0='Satay', CITY='Seattle', LATITUDE=47.689643, LONGITUDE=-122.355655, _4='Full-Service Restaurants')"
2016-01-22T19:47:08,2016-01-22T20:37:11,"Pandas(_0='Ciao', CITY='Coupeville', LATITUDE=48.218836, LONGITUDE=-122.685787, _4='Full-Service Restaurants')"
2018-07-27T19:54:35,2018-07-27T20:48:47,"Pandas(_0='Beaches Restaurant & Bar', CITY='Vancouver', LATITUDE=45.614929, LONGITUDE=-122.652099, _4='Full-Service Restaurants')"
2018-07-27T21:09:58,2018-07-27T21:59:02,"Pandas(_0='Beaches Restaurant & Bar', CITY='Vancouver', LATITUDE=45.614929, LONGITUDE=-122.652099, _4='Full-Service Restaurants')"
2020-11-19T19:33:19,2020-11-19T21:04:30,"Pandas(_0='Munchen Haus', CITY='Leavenworth', LATITUDE=47.594424, LONGITUDE=-120.662958, _4='Full-Service Restaurants')"
2020-11-20T01:31:50,2020-11-20T01:59:27,"Pandas(_0='Nine O Bar & Grill', CITY='Bellevue', LATITUDE=47.580075, LONGITUDE=-122.144087, _4='Full-Service Restaurants')"
2020-11-20T02:11:47,2020-11-20T02:56:52,"Pandas(_0='7-Eleven', CITY='Bellevue', LATITUDE=47.577062, LONGITUDE=-122.169864, _4='Convenience Stores')"
