date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2010-07-10,02:14,03:02,48.25,Late Night / Other,Two Seven Public House,Spokane,47.629781,-117.370292
2010-07-18,21:36,22:28,52.2,Dinner,"""Caruso's Sandwiches""",Spokane Valley,47.678382,-117.282285
2010-07-28,23:30,23:57,27.2,Late Night / Other,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2010-07-31,21:21,21:52,30.92,Dinner,"""Mc Donald's""",Spokane Valley,47.664944,-117.19748
2010-08-01,21:39,22:11,32.12,Dinner,Pita Pit,Spokane Valley,47.673543,-117.206442
2010-08-17,00:54,01:14,20.18,Late Night / Other,Fred Meyer,Spokane Valley,47.658828,-117.193806
2010-08-29,20:51,21:37,46.18,Dinner,"""Jimmy John's""",Spokane,47.628248,-117.367843
2010-12-21,00:28,01:12,44.05,Late Night / Other,Studio K Bar On Regal,Spokane,47.612,-117.368235
2010-12-21,18:50,19:47,57.5,Dinner,"""Applebee's""",Spokane,47.628449,-117.379838
2010-12-31,19:54,20:16,22.77,Dinner,Safeway,Spokane,47.699144,-117.448213
2011-01-12,20:39,22:05,85.38,Dinner,Relish Burger Bistro,Seattle,47.613791,-122.338291
2011-01-13,14:29,14:54,25.17,Lunch,Relish Burger Bistro,Seattle,47.613791,-122.338291
2011-01-13,15:02,15:53,50.83,Lunch,Relish Burger Bistro,Seattle,47.613791,-122.338291
2011-01-13,19:00,20:02,61.37,Dinner,"""Elliott's Oyster House""",Seattle,47.604986,-122.340183
2011-01-13,20:46,22:51,125.0,Dinner,Relish Burger Bistro,Seattle,47.613791,-122.338291
2011-01-13,23:05,00:45,100.22,Late Night / Other,Relish Burger Bistro,Seattle,47.613791,-122.338291
2011-01-15,22:59,23:31,31.13,Late Night / Other,Safeway,Lake Stevens,48.003257,-122.103818
2011-03-10,00:56,01:15,19.02,Late Night / Other,Target,Spokane,47.60969,-117.36543
2011-03-13,00:18,00:39,21.13,Late Night / Other,"""Mc Donald's""",Spokane,47.628539,-117.368238
2011-04-16,18:32,18:57,24.33,Dinner,Circle K,Ritzville,47.117801,-118.368592
2011-05-07,18:48,19:06,18.17,Dinner,"""Fidelina's""",Ellensburg,46.988467,-120.548237
2011-06-17,18:47,19:14,26.58,Dinner,Little Caesars Pizza,Spokane,47.656444,-117.350095
2011-07-12,21:49,22:43,53.72,Dinner,MOD Pizza,Spokane,47.658987,-117.422488
2011-07-26,23:36,00:08,32.32,Late Night / Other,Taco Bell,Spokane,47.668472,-117.426035
2011-07-27,00:30,00:52,21.62,Late Night / Other,"""Jimmy John's""",Spokane,47.628248,-117.367843
2011-08-28,19:09,20:08,59.08,Dinner,Barnes & Noble Cafe,Spokane Valley,47.67087,-117.198521
2011-09-05,20:45,21:15,30.35,Dinner,Fred Meyer,Spokane,47.7675,-117.402752
2011-09-29,00:45,01:08,22.38,Late Night / Other,Albertsons,Spokane Valley,47.681733,-117.28568
2011-10-01,23:05,23:24,18.38,Late Night / Other,Rosauers Supermarkets,Spokane Valley,47.656012,-117.262396
2011-10-10,22:55,23:31,35.55,Late Night / Other,Mackenzie River Pizza Co,Spokane,47.6012,-117.366967
2011-10-16,17:47,18:07,20.22,Dinner,Anthonys Restaurant,Spokane,47.610236,-117.367567
2011-10-18,23:09,23:54,45.6,Late Night / Other,Mackenzie River Pizza Co,Spokane,47.6012,-117.366967
2011-11-07,22:49,23:09,19.38,Late Night / Other,Mackenzie River Pizza Co,Spokane,47.6012,-117.366967
2011-11-10,00:03,00:35,32.85,Late Night / Other,Little Caesars Pizza,Spokane,47.656444,-117.350095
2012-01-10,22:51,23:06,15.62,Late Night / Other,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2012-01-18,23:06,23:30,23.37,Late Night / Other,Albertsons,Spokane,47.600953,-117.367532
2012-01-24,21:49,22:16,26.77,Dinner,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2012-01-27,22:25,22:48,22.87,Late Night / Other,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2012-01-28,18:02,19:46,103.92,Dinner,Panda Express,Spokane,47.659518,-117.423503
2012-01-28,19:49,20:53,64.72,Dinner,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2012-02-03,23:43,00:08,24.5,Late Night / Other,Target,Spokane,47.60969,-117.36543
2012-02-04,18:52,19:57,64.85,Dinner,Hong Kong Buffet,Spokane Valley,47.6738,-117.208741
2012-02-06,21:28,21:56,28.8,Dinner,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2012-04-15,19:10,19:28,18.4,Dinner,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2012-07-04,16:02,16:24,21.97,Dinner,Island Grill Aloha,Spokane,47.673783,-117.426364
2012-07-22,20:52,21:36,44.37,Dinner,"""Jimmy John's""",Spokane,47.628248,-117.367843
2012-08-26,01:18,01:43,25.17,Late Night / Other,Quiznos,Federal Way,47.289379,-122.316257
2012-09-01,22:11,22:33,22.52,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.627104,-117.374072
2012-09-16,02:21,03:36,74.77,Late Night / Other,Casper Fry,Spokane,47.646331,-117.390017
2012-11-15,18:40,18:56,16.45,Dinner,Pita Pit,Spokane,47.669257,-117.397258
2012-11-21,01:12,01:50,38.37,Late Night / Other,Barnes & Noble Cafe,Spokane Valley,47.67087,-117.198521
2012-11-26,23:21,23:40,18.58,Late Night / Other,Albertsons,Spokane,47.600953,-117.367532
2012-12-01,22:28,22:49,20.32,Late Night / Other,Safeway,Spokane,47.750462,-117.39766
2012-12-15,19:38,21:07,88.57,Dinner,"""Jimmy John's""",Spokane,47.628248,-117.367843
2012-12-21,19:26,19:46,19.2,Dinner,Slickrock Burrito,Spokane,47.62746,-117.40242
2012-12-29,22:35,22:51,16.35,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.627104,-117.374072
2013-01-05,19:47,20:45,57.27,Dinner,Ash St Tacos,Spokane,47.716015,-117.436016
2013-01-12,17:59,18:15,16.27,Dinner,Safeway,Spokane,47.62928,-117.37447
2013-01-26,16:43,17:01,17.4,Dinner,Rosauers Supermarkets,Spokane,47.627803,-117.373034
2013-02-21,23:15,23:32,17.28,Late Night / Other,Safeway,Spokane,47.694097,-117.367009
