date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2020-06-11,23:42,23:58,15.35,Late Night / Other,Safeway,Vancouver,45.641296,-122.556701
2020-07-24,04:01,05:09,68.12,Late Night / Other,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2020-08-12,22:26,23:31,64.75,Late Night / Other,Red Robin Gourmet Burgers,Vancouver,45.619074,-122.646483
2020-09-13,23:39,00:00,20.83,Late Night / Other,Safeway,Vancouver,45.641296,-122.556701
2020-11-09,03:22,04:19,56.63,Late Night / Other,Beaches Restaurant & Bar,Vancouver,45.614929,-122.652099
2021-01-04,21:28,21:46,17.9,Dinner,Goldendale Market Fresh,Goldendale,45.822602,-120.812856
2021-01-08,22:29,23:06,37.42,Late Night / Other,SUBWAY,Goldendale,45.826471,-120.805325
2021-01-17,01:00,01:19,18.9,Late Night / Other,Okuno & Assoc Inc,Vancouver,45.71536,-122.64952
2021-03-03,18:15,19:48,93.78,Dinner,Hockinson Cafe At Battle Grnd,Battle Ground,45.782714,-122.5578
2021-04-14,18:43,19:20,36.95,Dinner,"""Elmer's Breakfast-Lunch-Dinner""",Vancouver,45.65033,-122.599862
2021-06-22,20:57,21:16,19.9,Dinner,Grocery Outlet,Vancouver,45.64281,-122.61255
2021-07-14,21:41,21:56,15.1,Dinner,Safeway,Camas,45.586883,-122.399418
2021-08-11,19:41,20:33,52.38,Dinner,LA Placita Taqueria,Goldendale,45.821952,-120.823649
2021-09-24,19:47,21:07,80.75,Dinner,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2021-09-26,22:19,23:03,43.32,Late Night / Other,"""Applebee's""",Vancouver,45.620111,-122.541093
2021-10-02,19:29,20:48,79.03,Dinner,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2021-10-16,17:18,18:17,58.63,Dinner,"""Elmer's Breakfast-Lunch-Dinner""",Vancouver,45.621643,-122.555965
2021-12-17,18:33,19:00,26.82,Dinner,"""Applebee's""",Vancouver,45.620111,-122.541093
2021-10-28,20:53,21:47,53.65,Dinner,"""Elmer's Breakfast-Lunch-Dinner""",Vancouver,45.621643,-122.555965
2022-02-11,17:00,17:21,20.42,Dinner,Costco Wholesale,Camas,45.62254,-122.471963
2022-03-04,20:14,21:06,52.32,Dinner,"""Applebee's""",Vancouver,45.620111,-122.541093
2022-03-18,21:37,23:00,83.23,Dinner,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2022-03-22,19:01,19:42,41.58,Dinner,SUBWAY,Vancouver,45.638893,-122.671673
2022-04-01,01:19,01:49,30.58,Late Night / Other,Pizza Hut,Vancouver,45.678527,-122.554504
2022-04-07,02:13,03:20,67.02,Late Night / Other,"""Elmer's Breakfast-Lunch-Dinner""",Vancouver,45.65033,-122.599862
2022-04-19,21:01,21:57,56.05,Dinner,"""Applebee's""",Vancouver,45.620111,-122.541093
2023-02-19,19:56,20:15,18.4,Dinner,Chucks Produce & Street Market,Vancouver,45.618029,-122.536857
2023-04-11,17:59,19:47,108.12,Dinner,Talay Thai,Vancouver,45.684326,-122.53382
2023-04-25,20:34,21:23,48.62,Dinner,"""Applebee's""",Vancouver,45.620111,-122.541093
2023-12-10,21:13,22:20,66.75,Dinner,"""Applebee's""",Vancouver,45.620111,-122.541093
2023-12-17,01:52,03:00,68.2,Late Night / Other,"""Applebee's""",Vancouver,45.660095,-122.557312
2023-12-31,23:21,00:00,39.18,Late Night / Other,"""Applebee's""",Vancouver,45.620111,-122.541093
2024-01-21,22:25,23:21,56.77,Late Night / Other,Red Robin Gourmet Burgers,Vancouver,45.615343,-122.507009
2023-06-27,17:50,18:25,34.72,Dinner,SUBWAY,Vancouver,45.638893,-122.671673
2023-07-27,01:28,02:20,52.3,Late Night / Other,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2023-08-23,03:03,04:15,71.9,Late Night / Other,"""Applebee's""",Vancouver,45.660095,-122.557312
