date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2018-07-26,03:31,04:14,43.2,Late Night / Other,Longhorn Barbecue,Spokane Valley,47.678226,-117.283576
2018-08-03,21:20,21:42,22.12,Dinner,Froyo Earth-Wandermere,Spokane,47.771709,-117.405049
2018-08-08,04:04,04:33,28.38,Late Night / Other,Fred Meyer,Spokane,47.7675,-117.402752
2018-08-09,18:55,20:27,91.67,Dinner,SUBWAY,Mccleary,47.055239,-123.267754
2018-08-10,19:14,20:35,80.55,Dinner,SUBWAY,Mccleary,47.055239,-123.267754
2018-08-25,01:50,02:47,57.62,Late Night / Other,"""Anthony's At Spokane Falls""",Spokane,47.663,-117.42477
2018-08-31,21:48,22:09,20.6,Dinner,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2018-09-03,00:52,01:32,40.52,Late Night / Other,Fred Meyer,Spokane,47.7675,-117.402752
2018-09-04,00:33,00:56,22.27,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2018-10-15,02:33,02:50,16.87,Late Night / Other,Munchen Haus,Leavenworth,47.594424,-120.662958
2018-11-15,01:38,03:41,123.2,Late Night / Other,Das Stein Haus,Spokane,47.716581,-117.438727
2018-11-16,16:36,16:53,17.07,Dinner,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2018-12-12,23:57,00:25,28.22,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2018-12-29,19:29,19:55,26.3,Dinner,Fred Meyer,Spokane,47.7675,-117.402752
2019-04-02,22:27,23:00,33.05,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-04-03,00:45,01:12,27.02,Late Night / Other,De Leon Foods Inc,Spokane,47.714721,-117.407555
2019-05-01,01:59,02:15,16.62,Late Night / Other,Sante Restaurant & Charcuterie,Spokane,47.659384,-117.418598
2019-05-01,02:25,04:07,101.88,Late Night / Other,"""P F Chang's China Bistro""",Spokane,47.65881,-117.423756
2019-05-02,05:13,06:20,67.25,Breakfast,"""Home Accents/Frank's Pizzaria""",Spokane,47.769587,-117.408115
2019-06-04,22:14,22:41,27.2,Late Night / Other,Cash & Carry Smart Foodservice,Spokane,47.727062,-117.408703
2019-06-07,00:42,02:45,122.73,Late Night / Other,"""Home Accents/Frank's Pizzaria""",Spokane,47.769587,-117.408115
2019-06-27,19:45,20:19,34.48,Dinner,De Leon Foods,Spokane Valley,47.655933,-117.195211
2019-06-30,00:56,01:19,23.02,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-07-02,01:05,03:07,121.38,Late Night / Other,Das Stein Haus,Spokane,47.716581,-117.438727
2019-07-18,01:02,01:25,23.47,Late Night / Other,De Leon Foods Inc,Spokane,47.714721,-117.407555
2019-07-18,01:53,02:41,48.28,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-07-19,20:11,20:56,45.63,Dinner,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-07-23,00:28,01:02,34.02,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-07-25,00:56,01:34,37.7,Late Night / Other,De Leon Foods Inc,Spokane,47.714721,-117.407555
2019-10-19,00:04,00:22,18.7,Late Night / Other,Steelhead Bar & Grille,Spokane,47.659689,-117.420782
2019-10-28,00:08,01:09,60.5,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2019-10-28,15:49,16:50,60.77,Lunch,Mr Wok Restaurant,Spokane,47.7415,-117.409346
2019-11-10,23:22,23:58,35.42,Late Night / Other,Fred Meyer,Spokane,47.7675,-117.402752
2019-11-20,23:39,00:01,21.52,Late Night / Other,Clinkerdagger,Spokane,47.664931,-117.422638
2019-11-26,00:47,01:03,15.22,Late Night / Other,Fred Meyer,Spokane Valley,47.658828,-117.193806
2020-01-03,23:59,02:29,149.78,Late Night / Other,"""Milford's Fish House""",Spokane,47.66422,-117.42684
2020-01-04,23:28,00:04,35.57,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
2020-01-14,01:16,02:47,91.22,Late Night / Other,Old European,Spokane,47.727422,-117.410652
2020-02-09,19:12,19:36,24.45,Dinner,Fred Meyer,Spokane,47.7675,-117.402752
2020-02-10,01:43,02:56,73.0,Late Night / Other,"""Sergio's Mexican Sports Grill""",Spokane,47.657664,-117.424719
2020-02-16,02:02,04:02,119.55,Late Night / Other,Steelhead Bar & Grille,Spokane,47.659689,-117.420782
2020-02-17,21:54,22:12,17.55,Dinner,Fred Meyer,Spokane,47.7675,-117.402752
2020-02-24,23:45,00:02,16.5,Late Night / Other,Fred Meyer,Spokane,47.7675,-117.402752
2020-03-01,02:32,02:58,25.65,Late Night / Other,SUBWAY,Spokane,47.703414,-117.411405
2020-03-12,00:07,00:39,31.83,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Spokane,47.768006,-117.402756
