date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2015-05-30,04:06,04:28,21.82,Late Night / Other,"""Ivar's Salmon House""",Seattle,47.653614,-122.324059
2015-08-29,00:13,01:21,68.62,Late Night / Other,Satay,Seattle,47.689643,-122.355655
2016-01-22,19:47,20:37,50.05,Dinner,Ciao,Coupeville,48.218836,-122.685787
2018-07-27,19:54,20:48,54.2,Dinner,Beaches Restaurant & Bar,Vancouver,45.614929,-122.652099
2018-07-27,21:09,21:59,49.07,Dinner,Beaches Restaurant & Bar,Vancouver,45.614929,-122.652099
2020-11-19,19:33,21:04,91.18,Dinner,Munchen Haus,Leavenworth,47.594424,-120.662958
2020-11-20,01:31,01:59,27.62,Late Night / Other,Nine O Bar & Grill,Bellevue,47.580075,-122.144087
2020-11-20,02:11,02:56,45.08,Late Night / Other,7-Eleven,Bellevue,47.577062,-122.169864
