date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2018-12-19,19:54,20:52,57.17,Dinner,Cornuto By Via Tribunali,Seattle,47.682639,-122.355235
2018-12-27,14:56,15:44,47.88,Lunch,Soskoo Persian & Mediterranean,Bellevue,47.628039,-122.152135
2019-01-02,18:35,20:07,91.08,Dinner,Cafe Five,Seattle,47.606005,-122.331382
2019-01-15,03:19,03:40,21.22,Late Night / Other,"""Izzy's""",Olympia,47.042144,-122.844725
2019-01-31,16:17,16:33,15.87,Dinner,Sahara Pizza,Mercer Island,47.54174,-122.22519
2019-01-31,22:30,23:06,36.08,Late Night / Other,Pon Proem Thai,Mercer Island,47.58218,-122.23474
2019-04-28,00:49,01:45,56.53,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-04-28,21:29,22:32,62.8,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-04-28,22:36,23:39,62.5,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-04-30,22:45,00:50,125.08,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-01,21:08,23:03,115.1,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-05-01,23:08,00:16,68.02,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-04,16:59,19:17,137.5,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-05-06,15:53,17:18,85.62,Lunch,Asian Express,Seattle,47.604759,-122.33023
2019-05-06,22:52,23:33,40.7,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-18,23:37,01:51,134.58,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-20,22:30,00:18,107.65,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-21,00:19,01:41,81.75,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-05-22,17:24,18:59,95.03,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-05-26,21:20,23:35,135.03,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-05-26,23:42,00:51,68.27,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-03,00:06,00:49,43.37,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-05,22:32,00:13,101.4,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-06,00:19,00:43,23.85,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-16,21:29,23:49,139.6,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-06-16,23:54,01:23,89.3,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-19,21:00,23:06,126.8,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-06-19,23:15,00:09,53.77,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-06-22,16:58,18:45,106.78,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-06-23,23:08,00:57,108.42,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-08-01,02:13,02:36,22.67,Late Night / Other,QFC,Mercer Island,47.541717,-122.225919
2019-08-11,22:53,23:34,41.6,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-08-22,23:00,00:14,74.17,Late Night / Other,QFC,Mercer Island,47.541717,-122.225919
2019-09-23,18:50,20:55,124.9,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-09-28,20:02,21:49,106.92,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-09-28,23:27,00:38,71.37,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2019-10-05,20:03,20:25,21.9,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-10-05,20:31,21:45,74.18,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-12-03,18:35,19:59,83.72,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-12-07,18:54,20:29,95.28,Dinner,Asian Express,Seattle,47.604759,-122.33023
2019-12-15,00:01,00:56,54.37,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2020-01-08,02:52,04:01,69.32,Late Night / Other,LA Spiga,Seattle,47.61377,-122.31703
2020-01-12,00:24,01:04,40.42,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2020-01-17,02:29,03:00,30.45,Late Night / Other,Mai Lee Thai Restaurant,East Wenatchee,47.409089,-120.289344
2020-01-18,05:00,05:21,21.13,Breakfast,Globe,Spokane,47.65916,-117.411042
2020-03-22,18:52,20:58,126.32,Dinner,Bebas & Amigos,Seattle,47.6048,-122.330111
2020-04-04,22:25,23:15,50.75,Late Night / Other,"""T J's Deli""",Seattle,47.605673,-122.330719
2020-04-13,18:52,21:01,129.57,Dinner,Asian Express,Seattle,47.604759,-122.33023
2020-04-14,01:22,01:50,28.92,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2020-04-16,17:17,17:48,30.93,Dinner,Pon Proem Thai,Mercer Island,47.58218,-122.23474
2020-04-17,01:14,02:57,102.53,Late Night / Other,Racha Noodles & Thai,Seattle,47.624306,-122.355639
2020-04-27,22:02,22:56,54.47,Late Night / Other,Vovito Caffe & Gelato,Seattle,47.607114,-122.333789
2020-05-11,00:44,01:07,23.58,Late Night / Other,QFC,Mercer Island,47.541717,-122.225919
2020-06-15,20:16,21:02,45.62,Dinner,"""Von's Roasthouse""",Seattle,47.606764,-122.338224
2020-06-16,22:13,22:49,36.08,Late Night / Other,"""Mccormick & Schmick's Catring""",Tukwila,47.518188,-122.29634
2020-06-18,02:38,03:33,54.43,Late Night / Other,Porterhouse,Mt Vernon,48.419419,-122.338568
2020-06-29,22:28,23:04,36.3,Late Night / Other,Pon Proem Thai,Mercer Island,47.58218,-122.23474
