date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2012-03-16,05:23,06:04,41.48,Breakfast,Chinese Garden Restaurant,Camas,45.585876,-122.371398
2012-03-23,01:33,03:53,140.2,Late Night / Other,Vinotopia Restaurant,Vancouver,45.616626,-122.551011
2012-03-25,17:31,18:36,65.0,Dinner,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-04-06,22:17,23:00,42.57,Late Night / Other,Blue Castle,Battle Ground,45.775389,-122.52362
2012-04-21,21:10,21:31,21.47,Dinner,Fern Prairie Market,Camas,45.636474,-122.397888
2012-04-27,17:56,18:37,40.62,Dinner,Albertsons,Vancouver,45.723852,-122.652929
2012-04-27,19:06,19:54,48.95,Dinner,"""Wendy's""",Vancouver,45.681518,-122.666381
2012-04-29,18:05,18:36,30.95,Dinner,Sonic Drive-In,Vancouver,45.615014,-122.476499
2012-05-01,22:06,22:35,29.12,Late Night / Other,Little Caesars Pizza,Camas,45.585817,-122.370654
2012-05-01,22:36,22:53,17.0,Late Night / Other,Little Caesars Pizza,Camas,45.585817,-122.370654
2012-05-04,00:34,00:59,25.23,Late Night / Other,Safeway,Camas,45.586883,-122.399418
2012-05-07,00:07,01:11,64.3,Late Night / Other,Blue Castle,Battle Ground,45.775389,-122.52362
2012-05-22,20:34,22:03,88.58,Dinner,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-05-30,00:43,00:58,15.08,Late Night / Other,Costco Wholesale,Camas,45.62254,-122.471963
2012-05-30,00:59,01:25,25.38,Late Night / Other,Costco Wholesale,Camas,45.62254,-122.471963
2012-06-04,22:23,23:43,80.7,Late Night / Other,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-06-16,01:09,01:54,44.5,Late Night / Other,Golden Tent Mongolian Bbq,Vancouver,45.657892,-122.577883
2012-06-21,20:53,22:21,87.92,Dinner,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-06-22,06:06,07:26,79.53,Breakfast,Red Robin Gourmet Burgers,Vancouver,45.655188,-122.587416
2012-06-22,08:36,09:37,60.9,Breakfast,SUBWAY,Vancouver,45.686802,-122.662838
2012-06-25,00:01,00:45,44.78,Late Night / Other,"""Wendy's""",Vancouver,45.681518,-122.666381
2012-06-25,21:49,22:29,40.18,Dinner,"""Marie's Sodbusters""",Goldendale,45.825749,-120.805769
2012-06-28,01:50,02:10,19.9,Late Night / Other,Costco Wholesale,Camas,45.62254,-122.471963
2012-07-05,22:28,23:36,68.67,Late Night / Other,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-07-06,22:09,22:25,16.0,Late Night / Other,"""Mar's Chinese Cuisine""",Vancouver,45.636697,-122.506207
2012-07-07,21:28,21:49,21.1,Dinner,"""Wendy's""",Vancouver,45.66523,-122.55466
2012-07-18,03:32,04:19,47.17,Late Night / Other,Blue Castle,Battle Ground,45.775389,-122.52362
2012-07-18,19:24,20:19,55.0,Dinner,LA Costa Mexican Restaurant,Vancouver,45.656476,-122.590043
2012-07-20,19:50,20:35,45.82,Dinner,"""Wendy's""",Vancouver,45.681518,-122.666381
2012-07-23,22:37,23:43,65.87,Late Night / Other,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-08-06,18:50,19:53,63.25,Dinner,Little Caesars Pizza,Camas,45.585817,-122.370654
2012-08-14,22:26,23:58,92.27,Late Night / Other,Little Caesars Pizza,Camas,45.585817,-122.370654
2012-08-19,19:58,20:55,56.37,Dinner,"""Los Pepe's Inc""",Battle Ground,45.775211,-122.524289
2012-08-27,02:51,04:51,119.18,Late Night / Other,"""Applebee's""",Vancouver,45.620111,-122.541093
2012-08-31,20:15,20:44,29.48,Dinner,Albertsons,Vancouver,45.723852,-122.652929
2012-09-10,23:01,23:18,17.05,Late Night / Other,Costco Wholesale,Camas,45.62254,-122.471963
2012-09-12,20:34,21:31,56.57,Dinner,"""Marie's Sodbusters""",Goldendale,45.825749,-120.805769
