date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2016-03-21,00:34,01:10,35.43,Late Night / Other,Wing Dome,Seattle,47.68609,-122.354998
2016-03-21,20:29,21:30,61.27,Dinner,Wing Dome,Seattle,47.68609,-122.354998
2016-03-25,01:12,02:18,66.67,Late Night / Other,Voyeur,Olympia,47.045214,-122.897769
2016-03-26,03:28,05:33,124.67,Late Night / Other,Wing Dome,Seattle,47.68609,-122.354998
2016-03-27,03:03,04:03,59.87,Late Night / Other,Wing Dome,Seattle,47.68609,-122.354998
2016-05-10,19:56,21:03,67.38,Dinner,LA Fondita II,Tacoma,47.27134,-122.48919
2016-05-11,01:00,03:01,120.42,Late Night / Other,C I Shenanigans-Tacoma,Tacoma,47.280085,-122.475402
2016-09-07,19:11,19:31,19.97,Dinner,May,Seattle,47.661612,-122.338548
2016-09-07,19:46,20:25,39.27,Dinner,Kozue Restaurant,Seattle,47.661612,-122.338702
2016-09-08,02:34,03:16,42.67,Late Night / Other,Craft Bar & Grill,Bellingham,48.749324,-122.475836
2017-03-24,01:19,02:18,59.52,Late Night / Other,"""Hop Jack's""",Lacey,46.998669,-122.82364
2017-03-25,19:12,19:28,15.97,Dinner,Lumberyard Pizza,University Place,47.2274,-122.536238
2017-03-26,02:41,03:23,41.65,Late Night / Other,Sweetgrass Food Co,Seattle,47.615137,-122.3377
2017-03-26,05:11,05:33,22.55,Breakfast,"""Mc Donald's""",Seattle,47.614407,-122.337945
2017-03-26,05:57,06:38,40.78,Breakfast,"""Mc Donald's""",Seattle,47.614407,-122.337945
2017-03-26,06:39,07:37,58.07,Breakfast,"""Mc Donald's""",Seattle,47.614407,-122.337945
2017-03-26,08:14,09:19,64.45,Breakfast,Sound Soups & Deli,Seattle,47.614507,-122.338614
2017-03-27,03:48,04:15,26.3,Late Night / Other,"""Wendy's""",Seattle,47.667771,-122.376772
2017-03-27,04:16,04:40,23.58,Late Night / Other,"""Wendy's""",Seattle,47.667771,-122.376772
2017-03-27,04:55,06:31,95.58,Late Night / Other,Bitterroot Bbq,Seattle,47.666175,-122.383354
2017-11-26,19:31,20:50,79.03,Dinner,Ridge Pizza,Seattle,47.681288,-122.355663
2017-11-26,23:47,01:30,102.52,Late Night / Other,Mean Sandwich,Seattle,47.663909,-122.376844
2017-11-27,01:30,02:42,72.0,Late Night / Other,Mean Sandwich,Seattle,47.663909,-122.376844
2017-11-27,02:47,03:14,26.3,Late Night / Other,"""Bad Albert's Tap & Grill""",Seattle,47.66471,-122.380768
2017-11-27,03:18,03:59,41.27,Late Night / Other,"""Bad Albert's Tap & Grill""",Seattle,47.66471,-122.380768
2017-11-27,05:34,07:49,134.48,Breakfast,Olafs,Seattle,47.674788,-122.387884
2017-11-27,19:14,20:02,48.22,Dinner,Mollusk,Seattle,47.627251,-122.342396
2017-11-29,20:00,20:54,53.48,Dinner,Cafe Manna,Lacey,47.03747,-122.81952
2018-03-18,20:06,20:29,22.92,Dinner,Metropolitan Market,Tacoma,47.269672,-122.489586
2018-03-23,19:30,20:29,59.53,Dinner,Rosewood Cafe,Tacoma,47.271357,-122.480727
