date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2016-07-29,19:32,20:51,78.52,Dinner,Sky Ribbon Cafe,Spokane,47.660174,-117.423124
2016-07-29,20:55,21:10,15.02,Dinner,O Dohertys Irish Grille,Spokane,47.660141,-117.421272
2016-07-29,21:28,22:26,58.13,Dinner,"""P F Chang's China Bistro""",Spokane,47.65881,-117.423756
2016-08-01,22:17,23:15,57.65,Late Night / Other,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2016-08-07,09:23,10:59,95.55,Breakfast,Safeway,Cheney,47.505723,-117.5664
2016-08-20,00:48,01:22,34.15,Late Night / Other,"""Taco John's""",Spokane,47.70041,-117.394669
2016-09-13,06:42,07:10,28.02,Breakfast,"""Denny's""",Spokane,47.620638,-117.505778
2016-11-07,18:35,19:32,56.97,Dinner,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2016-11-23,16:03,16:33,29.38,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2016-11-27,11:39,12:23,44.0,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2016-12-01,07:12,09:11,119.03,Breakfast,SUBWAY,Cheney,47.50652,-117.5671
2016-12-01,10:20,12:03,102.73,Breakfast,SUBWAY,Cheney,47.50652,-117.5671
2016-12-04,22:53,23:22,29.02,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Cheney,47.497682,-117.565408
2016-12-17,18:08,18:34,26.08,Dinner,Safeway,Cheney,47.505723,-117.5664
2016-12-18,14:02,14:22,20.35,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2016-12-18,17:57,18:25,27.7,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2016-12-19,18:09,18:52,43.25,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2016-12-28,14:25,14:55,30.63,Lunch,Safeway,Cheney,47.505723,-117.5664
2017-03-04,01:09,01:28,18.98,Late Night / Other,"""Denny's""",Spokane,47.620638,-117.505778
2017-04-09,21:06,21:47,40.72,Dinner,Chicken N More Spokane,Spokane,47.65737,-117.41873
2017-04-25,00:30,01:46,75.77,Late Night / Other,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2017-04-26,19:56,20:19,23.8,Dinner,Ugly Mug Cafe,Seattle,47.659765,-122.313736
2017-04-27,02:31,02:57,25.98,Late Night / Other,Mee Sum Pastry,Seattle,47.661192,-122.313203
2017-04-28,02:28,03:00,32.08,Late Night / Other,"""Honeybee's Cafe""",Seattle,47.657803,-122.31329
2017-04-28,22:08,23:33,84.6,Late Night / Other,Asian Express,Seattle,47.604759,-122.33023
2017-07-19,19:28,20:21,52.97,Dinner,Chicken N More Spokane,Spokane,47.65737,-117.41873
2017-07-24,01:51,02:19,28.12,Late Night / Other,SUBWAY,Cheney,47.50652,-117.5671
2017-09-25,20:51,21:14,22.32,Dinner,"""Matt's In The Market""",Seattle,47.608847,-122.34036
2018-03-05,16:25,17:24,58.52,Dinner,Golden Corral Buffet & Grill,Spokane,47.723708,-117.412101
2018-03-08,20:09,21:09,59.63,Dinner,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2017-11-07,23:40,00:00,19.25,Late Night / Other,O Dohertys Irish Grille,Spokane,47.660141,-117.421272
2017-11-17,20:57,21:31,34.03,Dinner,Mizuna Restaurant & Wine Bar,Spokane,47.65953,-117.42087
2018-01-03,11:57,12:43,45.28,Lunch,Safeway,Cheney,47.505723,-117.5664
2018-01-07,01:53,02:21,27.35,Late Night / Other,China Buffet Chinese Rest,Cheney,47.49819,-117.56285
2018-01-18,00:03,00:28,25.8,Late Night / Other,Harvester Restaurant,Spangle,47.4875,-117.575387
2018-01-26,08:42,09:38,55.47,Breakfast,SUBWAY,Cheney,47.50652,-117.5671
2018-01-26,15:05,16:33,88.15,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-01-26,17:00,17:17,17.8,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2018-01-27,11:59,14:16,136.83,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-01-27,14:34,16:07,92.98,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-02-21,19:44,20:27,42.9,Dinner,Chicken N More Spokane,Spokane,47.65737,-117.41873
2018-02-21,23:24,23:42,18.4,Late Night / Other,Rokkos Teriyaki,Cheney,47.48779,-117.57514
2018-03-18,01:45,02:51,65.8,Late Night / Other,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2018-03-23,20:15,20:49,34.43,Dinner,Round Table Pizza,Spokane,47.716277,-117.440013
2018-04-01,02:30,03:23,52.58,Late Night / Other,China Buffet Chinese Rest,Cheney,47.49819,-117.56285
2018-04-10,20:31,21:14,43.42,Dinner,"""Jimmy John's""",Cheney,47.48672,-117.57587
2018-04-18,23:46,00:02,15.8,Late Night / Other,Mason Jar,Cheney,47.487119,-117.576268
2018-05-06,17:50,18:27,37.13,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2018-05-11,17:15,17:55,40.65,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2018-05-18,16:40,17:28,48.15,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2018-05-20,15:40,16:59,79.47,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-05-22,12:32,13:22,49.9,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-05-22,19:16,20:05,48.27,Dinner,Red Robin Gourmet Burgers,Spokane,47.658825,-117.423306
2018-05-23,19:27,20:07,40.85,Dinner,Mason Jar,Cheney,47.487119,-117.576268
2018-05-29,12:33,13:24,50.55,Lunch,SUBWAY,Cheney,47.50652,-117.5671
2018-05-30,18:48,19:03,15.33,Dinner,SUBWAY,Cheney,47.50652,-117.5671
2018-05-30,22:46,23:18,31.4,Late Night / Other,Mason Jar,Cheney,47.487119,-117.576268
2018-06-04,14:52,16:06,74.63,Lunch,Golden Corral Buffet & Grill,Spokane,47.723708,-117.412101
2018-06-05,18:22,19:27,64.82,Dinner,Burger King,Spokane Valley,47.666353,-117.191765
2018-06-10,16:11,16:26,15.08,Dinner,"""Zip's Drive-In""",Cheney,47.49035,-117.571274
2018-06-21,21:17,21:56,38.57,Dinner,"""Domino's""",Cheney,47.498054,-117.562968
2018-06-27,22:19,22:46,27.12,Late Night / Other,Mason Jar,Cheney,47.487119,-117.576268
2018-06-30,00:27,00:43,15.37,Late Night / Other,"""Mitchell's Harvest Foods""",Cheney,47.483304,-117.58182
2018-07-01,01:39,01:58,18.63,Late Night / Other,Rokkos Teriyaki,Cheney,47.48779,-117.57514
2018-07-09,14:51,15:33,42.57,Lunch,Golden Corral Buffet & Grill,Spokane,47.723708,-117.412101
2018-07-09,15:41,16:28,47.13,Lunch,Golden Corral Buffet & Grill,Spokane,47.723708,-117.412101
2018-07-11,22:53,23:24,30.93,Late Night / Other,Mason Jar,Cheney,47.487119,-117.576268
2018-07-20,01:28,02:15,47.25,Late Night / Other,China Buffet Chinese Rest,Cheney,47.49819,-117.56285
2018-07-25,22:43,23:19,36.23,Late Night / Other,Mason Jar,Cheney,47.487119,-117.576268
2018-08-04,01:46,02:31,45.42,Late Night / Other,China Buffet Chinese Rest,Cheney,47.49819,-117.56285
2018-08-18,14:10,14:44,34.33,Lunch,"""Zip's Drive-In""",Cheney,47.49035,-117.571274
