date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2015-08-04,21:23,21:49,25.97,Dinner,High Nooner,Spokane Valley,47.662265,-117.240471
2012-06-13,22:54,23:42,48.63,Late Night / Other,"""Denny's""",Spokane Valley,47.675201,-117.281745
2012-06-28,19:27,20:01,34.25,Dinner,"""Denny's""",Spokane Valley,47.657459,-117.23937
2012-08-23,03:32,05:06,93.88,Late Night / Other,Panda Express,Spokane,47.659518,-117.423503
2012-09-30,23:28,23:55,27.62,Late Night / Other,Taco Time,Spokane Valley,47.656767,-117.238147
2012-10-03,07:54,09:27,92.25,Breakfast,Globe,Spokane,47.65916,-117.411042
2012-10-12,22:41,22:59,17.47,Late Night / Other,High Nooner,Spokane Valley,47.662265,-117.240471
2012-10-14,01:57,03:55,118.17,Late Night / Other,Azteca Mexican Restaurants,Spokane,47.660107,-117.414944
2012-10-30,00:49,01:08,19.6,Late Night / Other,Qdoba Mexican Eats,Spokane Valley,47.671261,-117.240526
2012-10-31,21:17,21:37,19.93,Dinner,IHOP Restaurant,Spokane Valley,47.675787,-117.21036
2012-12-24,04:09,05:23,74.15,Late Night / Other,Iron Horse Restaurant,Spokane Valley,47.657699,-117.255399
2013-02-01,01:17,01:59,41.97,Late Night / Other,Burger King,Spokane Valley,47.666353,-117.191765
2013-02-12,22:07,22:27,20.12,Late Night / Other,Hong Kong Buffet,Spokane Valley,47.6738,-117.208741
2013-03-22,03:35,04:24,48.6,Late Night / Other,Red Robin Gourmet Burgers,Spokane Valley,47.674214,-117.203554
2013-04-11,03:37,04:15,37.75,Late Night / Other,El Albanil,Bellingham,48.733864,-122.468925
2013-04-23,20:21,21:22,61.12,Dinner,"""Mamma Mia's Ristorante-Pzzr""",Spokane,47.71539,-117.418932
2013-05-01,18:53,19:09,15.82,Dinner,Jack In The Box,Spokane Valley,47.670996,-117.240121
2013-05-05,03:54,04:32,37.93,Late Night / Other,Azteca Mexican Restaurants,Spokane,47.660107,-117.414944
2013-05-05,04:36,05:20,43.9,Late Night / Other,Fast Eddies Bar & Grill,Spokane,47.66014,-117.411472
2013-05-08,23:29,23:47,17.57,Late Night / Other,"""Ron's Drive In""",Spokane Valley,47.656449,-117.237071
2013-05-15,18:58,19:23,24.67,Dinner,"""Caruso's Sandwiches""",Spokane Valley,47.678382,-117.282285
2013-05-29,18:49,19:13,23.32,Dinner,High Nooner,Spokane Valley,47.662265,-117.240471
2013-07-03,16:46,17:01,15.78,Dinner,Rosauers Supermarkets,Spokane Valley,47.656012,-117.262396
2013-07-10,23:54,01:04,70.0,Late Night / Other,SUSHI.COM,Spokane,47.659302,-117.419341
2013-07-14,00:45,02:18,92.48,Late Night / Other,Shogun Hibachi Steak Sushi,Spokane,47.653868,-117.39802
2013-08-04,23:51,00:07,16.12,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-08-11,02:16,02:39,22.3,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-08-14,21:15,21:42,27.33,Dinner,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-08-29,20:56,21:45,48.52,Dinner,3 Sisters Restaurant,Spokane Valley,47.657469,-117.262528
2013-09-03,22:10,22:58,48.23,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-09-06,04:02,04:18,16.25,Late Night / Other,Rosauers Supermarkets,Spokane Valley,47.656012,-117.262396
2013-09-16,23:24,23:45,21.63,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-09-20,20:56,21:19,22.95,Dinner,Thrifty Scotsman Drive Inn,Spokane Valley,47.656771,-117.242659
2013-09-22,05:57,06:58,61.17,Breakfast,"""Denny's""",Spokane Valley,47.657459,-117.23937
2013-10-16,02:45,03:07,22.25,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-10-18,03:34,03:56,22.17,Late Night / Other,"""Carl's Jr""",Spokane Valley,47.656795,-117.217201
2013-10-29,01:05,02:14,68.83,Late Night / Other,Hong Kong Buffet,Spokane Valley,47.6738,-117.208741
2013-10-30,21:03,21:24,21.38,Dinner,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-10-30,22:37,22:52,15.47,Late Night / Other,Pita Pit,Spokane Valley,47.673543,-117.206442
2013-10-31,02:45,03:27,42.4,Late Night / Other,"""Denny's""",Spokane Valley,47.657459,-117.23937
2013-11-06,05:23,05:39,15.95,Breakfast,Jack In The Box,Spokane Valley,47.670996,-117.240121
2013-11-14,19:35,19:52,17.3,Dinner,Jack In The Box,Spokane Valley,47.670996,-117.240121
2013-11-20,19:04,19:21,16.77,Dinner,Jack In The Box,Spokane Valley,47.670996,-117.240121
2013-11-28,02:51,03:43,52.82,Late Night / Other,"""Boston's Restaurant-Sports Bar""",Spokane Valley,47.67563,-117.21285
2013-12-06,19:40,20:56,75.77,Dinner,"""Denny's""",Spokane Valley,47.657459,-117.23937
2013-12-29,04:15,04:31,15.6,Late Night / Other,Jack In The Box,Spokane Valley,47.670996,-117.240121
2013-12-31,19:29,19:49,19.85,Dinner,Qdoba Mexican Eats,Spokane Valley,47.671261,-117.240526
2014-01-09,01:54,02:50,56.33,Late Night / Other,"""Denny's""",Spokane Valley,47.657459,-117.23937
2014-01-15,21:55,22:10,15.65,Dinner,Pita Pit,Spokane Valley,47.673543,-117.206442
2014-01-20,00:52,02:09,76.45,Late Night / Other,"""Denny's""",Spokane Valley,47.657459,-117.23937
2014-01-21,18:49,19:26,37.13,Dinner,Two Columns,Spokane Valley,47.657542,-117.249656
2014-01-28,16:54,17:37,43.32,Dinner,"""Jenny's Cafe""",Spokane Valley,47.65746,-117.277823
2014-01-29,01:25,01:41,16.0,Late Night / Other,Qdoba Mexican Eats,Spokane Valley,47.671261,-117.240526
2014-02-06,19:46,20:06,19.53,Dinner,Jack In The Box,Spokane Valley,47.670996,-117.240121
2014-03-13,16:32,16:49,17.0,Dinner,Jack In The Box,Spokane Valley,47.670996,-117.240121
2014-04-05,22:07,22:28,21.35,Late Night / Other,Italian Kitchen,Spokane,47.658501,-117.416092
2014-04-06,00:38,01:09,30.48,Late Night / Other,Sante Restaurant & Charcuterie,Spokane,47.659384,-117.418598
2014-04-15,20:00,20:32,31.8,Dinner,"""Caruso's Sandwiches""",Spokane Valley,47.678382,-117.282285
2014-04-29,17:36,17:59,23.07,Dinner,"""Caruso's Sandwiches""",Spokane Valley,47.678382,-117.282285
2014-05-13,15:37,17:14,97.7,Lunch,SUBWAY,Spokane Valley,47.657487,-117.233478
2014-05-27,00:16,01:14,58.02,Late Night / Other,Italian Kitchen,Spokane,47.658501,-117.416092
2014-06-10,04:28,05:21,53.45,Late Night / Other,Suki Yaki Inn Japanese Rest,Spokane,47.65862,-117.41622
2014-06-11,19:07,19:54,47.2,Dinner,Outback Steakhouse,Spokane Valley,47.671576,-117.202978
2014-06-17,04:26,05:13,46.27,Late Night / Other,Italian Kitchen,Spokane,47.658501,-117.416092
2014-06-19,01:25,02:08,43.58,Late Night / Other,"""Denny's""",Spokane Valley,47.657459,-117.23937
2014-06-23,04:07,04:59,52.72,Late Night / Other,Suki Yaki Inn Japanese Rest,Spokane,47.65862,-117.41622
2014-06-30,04:00,05:09,69.37,Late Night / Other,Suki Yaki Inn Japanese Rest,Spokane,47.65862,-117.41622
