date,start_time,end_time,duration_minutes,meal,restaurant,city,latitude,longitude
2011-04-19,18:39,19:27,48.05,Dinner,West Edge Market,Seattle,47.6066,-122.338831
2011-04-27,01:55,02:38,42.4,Late Night / Other,North City Wine Bar & Bistro,Shoreline,47.757723,-122.313171
2011-04-27,20:46,21:50,64.33,Dinner,"""King's Teriyaki""",Woodinville,47.753784,-122.160695
2011-07-05,02:23,04:38,134.62,Late Night / Other,North City Wine Bar & Bistro,Shoreline,47.757723,-122.313171
2011-07-29,23:21,23:41,19.17,Late Night / Other,"""Applebee's""",Lynnwood,47.820591,-122.296373
2011-08-11,18:13,19:05,51.78,Dinner,Taco Del Mar,Ritzville,47.117448,-118.36751
2011-09-13,18:01,18:17,15.2,Dinner,Garden Cafe,Woodinville,47.75343,-122.157025
2011-09-28,19:30,20:07,37.53,Dinner,Qdoba Mexican Eats,Mill Creek,47.849819,-122.219328
2011-10-11,02:14,02:55,40.83,Late Night / Other,Red Robin Gourmet Burgers,Woodinville,47.75772,-122.15561
2011-10-14,18:06,18:42,36.02,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-10-17,20:34,22:29,114.83,Dinner,Red Lobster,Lynnwood,47.821467,-122.291018
2011-10-18,00:08,00:52,44.08,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-10-23,19:07,19:44,36.38,Dinner,"""Romio's Pizza & Pasta""",Kirkland,47.71164,-122.18815
2011-10-25,17:59,18:28,28.87,Dinner,"""Romio's Pizza & Pasta""",Kirkland,47.71164,-122.18815
2011-11-02,21:40,22:04,24.1,Dinner,Jubilee Reach Thrift Store,Bellevue,47.630695,-122.144156
2011-11-03,18:08,18:25,16.75,Dinner,Family Pancake House,Redmond,47.668481,-122.104427
2011-11-05,20:15,20:39,23.42,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-11-07,18:21,18:46,24.83,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-11-10,18:19,20:02,102.55,Dinner,"""Papa Murphy's Take 'N' Bake""",Woodinville,47.75502,-122.150545
2011-11-15,03:27,03:45,17.3,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-11-15,17:04,17:24,20.3,Dinner,"""Romio's Pizza & Pasta""",Kirkland,47.71164,-122.18815
2011-11-15,18:43,18:58,15.15,Dinner,Village Square Cafe,Redmond,47.678543,-122.124759
2011-11-30,19:07,19:25,18.27,Dinner,Turners,Everett,47.978912,-122.200738
2011-12-11,22:34,22:56,22.4,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-12-17,17:48,18:22,33.83,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-12-22,22:49,23:18,29.4,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2011-12-26,19:38,19:59,21.35,Dinner,QFC,Mercer Island,47.584959,-122.232886
2012-01-08,17:48,18:35,47.07,Dinner,Bthree WA Burgers & Breakfast,Lynnwood,47.8212,-122.28811
2012-01-08,19:44,20:06,21.47,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-01-17,19:01,19:39,38.18,Dinner,Pho Vina,Woodinville,47.753853,-122.152807
2012-01-26,03:39,04:09,29.48,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-02-01,22:23,00:01,98.4,Late Night / Other,Big Fish Grill-Woodinville,Woodinville,47.754802,-122.156336
2012-02-09,21:07,21:25,17.42,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-02-11,20:09,21:42,92.27,Dinner,Red Lobster,Lynnwood,47.821467,-122.291018
2012-02-17,02:26,02:52,25.72,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-03-05,02:45,03:43,57.65,Late Night / Other,Fred Meyer,Redmond,47.670691,-122.104415
2012-03-05,05:41,05:59,18.07,Breakfast,MOD Pizza,Woodinville,47.75686,-122.15443
2012-03-06,17:37,18:17,40.3,Dinner,Bthree WA Burgers & Breakfast,Lynnwood,47.8212,-122.28811
2012-03-10,13:35,13:59,24.28,Lunch,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-03-11,01:13,01:41,28.0,Late Night / Other,"""Papa Murphy's Take 'N' Bake""",Woodinville,47.75502,-122.150545
2012-03-14,19:15,20:08,52.18,Dinner,Archer Ale House,Bellingham,48.720108,-122.504588
2012-04-10,20:07,21:09,61.7,Dinner,"""Duke's Bellevue Chowder House""",Bellevue,47.615254,-122.20154
2012-04-18,16:36,17:10,34.02,Dinner,El Buen Gusto Rest,Prosser,46.205826,-119.770212
2012-04-19,19:30,19:56,25.13,Dinner,El Caporal Mexican Restaurant,Prosser,46.205231,-119.769573
2012-04-19,20:07,20:30,22.48,Dinner,Coffee Break Expresso,Prosser,46.219778,-119.790138
2012-04-24,20:17,20:32,15.13,Dinner,"""Jersey Mike's Subs""",Woodinville,47.753789,-122.152807
2012-04-25,01:37,01:53,16.57,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-05-01,20:34,20:56,22.62,Dinner,"""Jersey Mike's Subs""",Woodinville,47.753789,-122.152807
2012-05-01,20:59,21:47,48.27,Dinner,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-05-09,20:43,21:13,29.18,Dinner,Armadillo Barbecue,Woodinville,47.74045,-121.9864
2012-05-14,00:14,00:40,26.52,Late Night / Other,Safeway,Kirkland,47.732456,-122.174391
2012-05-15,22:26,23:07,40.4,Late Night / Other,Haggen Food & Pharmacy,Woodinville,47.755668,-122.156759
2012-05-18,21:55,23:19,84.42,Dinner,Taco Del Mar,Lynnwood,47.821053,-122.290227
